# Time-averaged data for fix DensAve
# TimeStep v_Density
100000 0.905097
200000 0.908431
300000 0.906261
400000 0.907097
500000 0.906664
600000 0.904166
700000 0.906319
800000 0.908871
900000 0.909401
1000000 0.903823
1100000 0.904948
1200000 0.906466
1300000 0.90841
1400000 0.909919
1500000 0.910935
1600000 0.919053
1700000 0.917765
1800000 0.912343
1900000 0.913866
2000000 0.91167
2100000 0.910096
2200000 0.90828
2300000 0.907681
2400000 0.906933
2500000 0.910448
2600000 0.910189
2700000 0.906213
2800000 0.908575
2900000 0.907195
3000000 0.905087
3100000 0.905201
3200000 0.906439
3300000 0.906478
3400000 0.903591
3500000 0.908282
3600000 0.909516
3700000 0.910753
3800000 0.912382
3900000 0.909099
4000000 0.909333
4100000 0.910921
4200000 0.911509
4300000 0.910022
4400000 0.909942
4500000 0.913687
4600000 0.913397
4700000 0.909668
4800000 0.912853
4900000 0.910208
5000000 0.914912
5100000 0.912188
5200000 0.914828
5300000 0.916822
5400000 0.916971
5500000 0.913872
5600000 0.918309
5700000 0.915865
5800000 0.914336
5900000 0.918004
6000000 0.921469
6100000 0.919732
6200000 0.916848
6300000 0.922312
6400000 0.922213
6500000 0.917532
6600000 0.916232
6700000 0.916134
6800000 0.911373
6900000 0.90753
7000000 0.911578
7100000 0.910623
7200000 0.911013
7300000 0.910047
7400000 0.910563
7500000 0.908504
7600000 0.906329
7700000 0.91023
7800000 0.90936
7900000 0.907915
8000000 0.909356
8100000 0.904062
8200000 0.905583
8300000 0.908493
8400000 0.907387
8500000 0.9033
8600000 0.905077
8700000 0.907441
8800000 0.90546
8900000 0.902716
9000000 0.895956
9100000 0.893019
9200000 0.891101
9300000 0.89408
9400000 0.889882
9500000 0.888896
9600000 0.889369
9700000 0.887969
9800000 0.886322
9900000 0.885804
10000000 0.888883
10100000 0.868822
10200000 0.868822
10300000 0.868822
10400000 0.868822
10500000 0.868822
