# Time-averaged data for fix DensAve
# TimeStep v_Density
100000 0.841406
200000 0.845073
300000 0.843277
400000 0.846213
500000 0.849377
600000 0.851516
700000 0.848168
800000 0.847087
900000 0.846263
1000000 0.846434
1100000 0.848013
1200000 0.848855
1300000 0.846234
1400000 0.845611
1500000 0.843987
1600000 0.846569
1700000 0.851521
1800000 0.851319
1900000 0.847153
2000000 0.850722
2100000 0.853024
2200000 0.849384
2300000 0.849091
2400000 0.851397
2500000 0.853307
2600000 0.848883
2700000 0.845075
2800000 0.848483
2900000 0.845056
3000000 0.848155
3100000 0.849389
3200000 0.83947
3300000 0.841029
3400000 0.83683
3500000 0.839099
3600000 0.844113
3700000 0.842483
3800000 0.84155
3900000 0.84585
4000000 0.847805
4100000 0.845569
4200000 0.84626
4300000 0.850418
4400000 0.849608
4500000 0.844304
4600000 0.850114
4700000 0.855677
4800000 0.857469
4900000 0.857239
5000000 0.854648
5100000 0.85758
5200000 0.851511
5300000 0.859315
5400000 0.84955
5500000 0.851258
5600000 0.844834
5700000 0.846206
5800000 0.841201
5900000 0.844559
6000000 0.84068
6100000 0.841668
6200000 0.840498
6300000 0.843263
6400000 0.84251
6500000 0.845097
6600000 0.845944
6700000 0.846852
6800000 0.846188
6900000 0.840192
7000000 0.847339
7100000 0.845769
7200000 0.846474
7300000 0.834548
7400000 0.844338
7500000 0.845223
7600000 0.839539
7700000 0.846829
7800000 0.846484
7900000 0.846125
8000000 0.84856
8100000 0.840983
8200000 0.84454
8300000 0.841871
8400000 0.837982
8500000 0.836069
8600000 0.834946
8700000 0.84208
8800000 0.841776
8900000 0.840491
9000000 0.841796
9100000 0.847795
9200000 0.847199
9300000 0.850707
9400000 0.848723
9500000 0.848386
9600000 0.84891
9700000 0.848902
9800000 0.84127
9900000 0.841841
10000000 0.833255
10100000 0.84478
10200000 0.84478
10300000 0.84478
10400000 0.84478
10500000 0.84478
