Step T_hot T_cold

0 0.0000 0.0000
10000 286.2619 313.2540
20000 293.0503 289.8302
30000 296.6962 292.3711
40000 294.4555 283.4900
50000 297.1701 287.0114
60000 305.3037 288.2637
70000 293.4198 292.6154
80000 289.0478 282.8282
90000 315.1377 273.2912
100000 312.2170 303.2569
110000 307.6276 281.6122
120000 308.9489 272.7736
130000 317.0397 275.5562
140000 304.7385 279.5330
150000 309.4762 265.7590
160000 302.8996 280.9171
170000 310.5077 290.7163
180000 301.3970 271.7157
190000 299.9896 264.1598
200000 311.9189 275.5000
210000 308.2883 283.1932
220000 321.9158 275.2433
230000 317.3766 276.8988
240000 306.3387 273.9926
250000 301.5534 266.2263
260000 297.4555 278.2670
270000 309.0404 279.1473
280000 309.1559 273.7022
290000 300.2220 271.1656
300000 309.9134 273.4418
310000 312.3377 289.8783
320000 309.8993 281.0273
330000 324.3961 274.4201
340000 322.0296 284.7947
350000 319.4588 283.1891
360000 320.5897 276.6266
370000 327.8907 274.8584
380000 321.4016 260.1578
390000 321.0007 263.2060
400000 323.0136 267.5969
410000 339.8345 273.3109
420000 354.8255 287.9379
430000 353.8282 275.7963
440000 336.3468 271.3196
450000 334.8312 274.5734
460000 325.9465 268.5616
470000 333.6060 260.4657
480000 313.3722 268.3091
490000 333.9328 277.0028
500000 330.3918 277.1392
510000 335.8855 271.5902
520000 321.7668 256.9170
530000 326.0505 262.1046
540000 330.9855 267.2901
550000 327.0803 274.9796
560000 326.1592 276.0896
570000 336.9488 274.7430
580000 333.2370 267.2151
590000 332.9530 270.1969
600000 339.5856 266.7556
610000 324.4866 268.7733
620000 319.7637 265.6573
630000 356.5827 273.6918
640000 356.3709 261.2119
650000 321.6340 281.3833
660000 319.5636 273.2074
670000 339.5727 275.2717
680000 354.7455 268.0997
690000 338.9725 273.0827
700000 345.8811 271.7267
710000 324.6493 283.7664
720000 319.4701 263.5361
730000 314.2721 258.8603
740000 329.3482 253.3542
750000 333.3412 262.1991
760000 338.1504 253.9122
770000 340.3857 262.3227
780000 328.9935 258.0093
790000 309.1893 271.5510
800000 310.8382 268.4810
810000 325.4582 269.8379
820000 312.6181 274.1099
830000 310.2096 262.8954
840000 322.9111 272.2560
850000 310.3459 268.0997
860000 324.9916 272.4287
870000 346.0679 259.9773
880000 333.1643 255.6003
890000 334.7608 268.4315
900000 339.3207 263.0512
910000 330.6086 256.4478
920000 333.6630 256.5302
930000 327.9198 259.4546
940000 320.0990 274.8369
950000 320.9305 279.1280
960000 337.4400 279.1567
970000 318.6661 272.0767
980000 342.1739 272.5036
990000 336.2351 278.9314
1000000 320.3716 284.2298
1010000 338.6290 280.1088
1020000 338.7993 281.7701
1030000 321.6696 278.2321
1040000 323.8753 281.9272
1050000 316.5633 275.8294
1060000 304.0861 257.7562
1070000 325.0598 264.5864
1080000 334.4525 269.2791
1090000 336.1148 263.8503
1100000 328.1506 280.2976
1110000 311.7410 276.5057
1120000 323.8074 278.5138
1130000 334.6934 274.8368
1140000 336.6389 277.8062
1150000 331.1732 275.2925
1160000 323.5663 264.4670
1170000 329.0577 273.8947
1180000 336.0771 267.5105
1190000 340.7864 264.3142
1200000 331.8936 279.5273
1210000 320.9314 254.2346
1220000 332.6414 256.5315
1230000 353.8043 255.7426
1240000 357.2238 264.9935
1250000 340.2336 267.1735
1260000 336.1318 261.0159
1270000 342.0419 268.9722
1280000 339.4130 280.4276
1290000 356.4137 267.8490
1300000 344.1370 257.5202
1310000 329.4014 251.7247
1320000 315.4705 257.4708
1330000 332.8177 260.0003
1340000 358.3428 254.8429
1350000 313.4180 250.1967
1360000 344.5861 252.8837
1370000 334.6622 252.0248
1380000 331.4934 266.7010
1390000 323.9429 270.4537
1400000 333.6867 266.9496
1410000 339.4468 266.7562
1420000 324.8935 270.0913
1430000 317.3695 275.8937
1440000 339.8106 268.0151
1450000 339.4796 275.7311
1460000 345.5911 267.8920
1470000 336.1007 285.8426
1480000 341.5759 273.4234
1490000 353.4854 281.8553
1500000 340.2135 290.7312
1510000 317.1442 264.1753
1520000 334.3724 267.1557
1530000 329.0814 258.2893
1540000 352.2601 274.5038
1550000 345.7255 257.1577
1560000 326.0824 264.7205
1570000 345.3747 270.0085
1580000 342.5604 265.1170
1590000 321.1775 270.4971
1600000 339.8105 266.6292
1610000 345.1063 275.2471
1620000 341.8133 261.2405
1630000 337.8813 277.8448
1640000 343.4347 260.3337
1650000 353.2606 262.5068
1660000 349.9516 260.8298
1670000 318.1235 261.1114
1680000 341.7106 262.5948
1690000 330.7088 261.9017
1700000 349.0558 267.5746
1710000 342.3945 258.8255
1720000 343.2282 255.8622
1730000 334.4324 254.6458
1740000 329.1491 267.0251
1750000 371.3765 250.0637
1760000 346.5429 262.9945
1770000 317.3225 269.9928
1780000 340.2306 268.8583
1790000 346.6490 255.4563
1800000 341.1529 260.6858
1810000 350.7286 256.7853
1820000 345.9892 269.5767
1830000 357.9394 275.7612
1840000 356.1913 262.0043
1850000 346.3132 270.2158
1860000 357.6106 267.8901
1870000 331.8343 250.2295
1880000 335.2129 268.0182
1890000 344.3379 267.1294
1900000 320.1615 269.2740
1910000 322.4350 256.4428
1920000 346.5735 261.3386
1930000 326.2302 279.3208
1940000 315.8915 269.5524
1950000 316.5898 271.3786
1960000 345.4616 265.3954
1970000 335.3511 255.9212
1980000 346.5572 265.6507
1990000 344.6053 259.3469
2000000 340.2623 273.1789
2010000 342.0371 262.6446
2020000 329.7059 272.4964
2030000 362.5980 271.1730
2040000 348.5246 271.2696
2050000 351.7673 268.0475
2060000 365.8730 271.5905
2070000 342.7826 254.8749
2080000 347.5064 255.4469
2090000 349.9657 253.6411
2100000 335.8871 257.4907
2110000 355.4098 261.6973
2120000 349.7573 274.3338
2130000 340.4989 265.7572
2140000 359.9751 264.5186
2150000 335.2276 260.0986
2160000 334.6336 247.4236
2170000 348.9485 261.6982
2180000 343.9911 250.7084
2190000 351.6643 249.8251
2200000 325.9007 263.2523
2210000 349.2353 251.9716
2220000 330.8186 255.9441
2230000 322.8571 259.0548
2240000 339.6720 261.7087
2250000 335.6750 270.9437
2260000 329.9458 261.1842
2270000 336.1721 253.2323
2280000 344.1544 280.6358
2290000 338.6156 268.7575
2300000 337.0911 285.3239
2310000 346.0627 270.5638
2320000 368.9706 257.8815
2330000 337.6224 270.0331
2340000 325.9892 254.0429
2350000 335.1027 249.8148
2360000 341.1265 267.5635
2370000 347.8690 255.0103
2380000 342.9952 266.3310
2390000 337.3036 258.8191
2400000 352.0365 262.3760
2410000 330.4894 259.3488
2420000 335.9829 253.6765
2430000 328.0051 271.7986
2440000 338.4452 258.4713
2450000 343.6232 273.4128
2460000 332.2496 247.8466
2470000 333.6879 256.6813
2480000 346.0442 275.5520
2490000 341.2896 272.5722
2500000 322.5294 262.0790
2510000 323.2096 266.4756
2520000 352.7230 256.8080
2530000 354.1237 251.2850
2540000 345.2606 260.1519
2550000 337.9226 261.6247
2560000 347.7555 259.5332
2570000 338.8876 263.0123
2580000 331.1804 272.2207
2590000 342.7600 259.6712
2600000 318.0832 241.2769
2610000 330.0848 245.5939
2620000 332.1437 254.6421
2630000 335.4374 261.4696
2640000 320.8768 272.8307
2650000 334.7779 273.4027
2660000 345.0097 261.7710
2670000 322.8834 256.2829
2680000 331.7395 266.0444
2690000 329.1395 249.0902
2700000 326.9558 242.1615
2710000 328.2595 257.0211
2720000 342.5785 269.9772
2730000 345.1935 264.1205
2740000 341.6117 256.2450
2750000 340.0901 278.4359
2760000 338.2682 254.9348
2770000 330.6287 246.1149
2780000 322.2000 252.7433
2790000 325.0505 258.8746
2800000 319.4976 269.4906
2810000 340.7140 260.1426
2820000 364.4688 256.9475
2830000 341.5049 259.5678
2840000 329.9535 264.9071
2850000 322.0490 264.1443
2860000 325.4912 250.1380
2870000 338.6381 247.9039
2880000 340.3000 270.0370
2890000 340.5628 257.5985
2900000 340.0930 262.0617
2910000 327.0638 251.4079
2920000 347.0670 259.4176
2930000 344.2102 270.1962
2940000 304.7914 279.9400
2950000 321.2438 265.6092
2960000 339.2806 255.5004
2970000 331.8736 253.4536
2980000 335.6113 256.7828
2990000 348.0566 268.9126
3000000 353.7184 265.3497
3010000 335.3951 250.2679
3020000 363.4628 262.5418
3030000 346.7034 257.2477
3040000 333.9440 266.0086
3050000 343.9881 272.4956
3060000 332.9613 262.4663
3070000 314.7188 266.1247
3080000 318.8125 258.3661
3090000 318.0527 269.3408
3100000 358.0541 263.4259
3110000 376.3351 266.2676
3120000 366.1975 259.2783
3130000 359.2248 262.7945
3140000 340.6056 252.0592
3150000 357.3029 260.0616
3160000 350.2193 263.9886
3170000 337.1719 281.4721
3180000 345.2277 266.4649
3190000 343.0921 246.0766
3200000 333.5270 252.8602
3210000 334.7956 264.1473
3220000 363.1725 273.9261
3230000 351.5582 262.7068
3240000 345.0539 261.7855
3250000 337.0421 258.9453
3260000 345.0582 267.5767
3270000 353.4419 267.4643
3280000 341.3108 274.0886
3290000 365.3251 253.8737
3300000 358.1206 252.7847
3310000 320.6379 247.2349
3320000 316.6271 251.9530
3330000 344.4128 267.9342
3340000 330.2729 258.5980
3350000 368.2286 245.9696
3360000 366.1729 246.1738
3370000 362.9307 253.4902
3380000 349.9508 247.8948
3390000 344.4343 257.0940
3400000 338.2361 259.4125
3410000 332.1131 263.0630
3420000 325.0886 253.1267
3430000 334.8647 261.6603
3440000 329.7236 246.7115
3450000 332.6208 260.0222
3460000 313.6072 255.8752
3470000 327.3223 261.7708
3480000 336.6363 256.6815
3490000 327.4498 259.9482
3500000 327.9921 255.7698
3510000 301.4394 265.2966
3520000 310.9094 257.2723
3530000 318.5915 250.1595
3540000 316.5471 261.0887
3550000 312.8291 258.4672
3560000 322.5565 266.2986
3570000 339.0938 266.3221
3580000 336.5155 261.1180
3590000 333.3556 260.4139
3600000 312.7266 264.1507
3610000 301.0781 261.7248
3620000 327.2148 273.9577
3630000 335.2363 249.7198
3640000 326.9973 260.2881
3650000 333.4054 255.3096
3660000 337.9603 260.0235
3670000 320.0331 264.3044
3680000 324.5532 267.1600
3690000 335.7485 259.1681
3700000 330.2544 255.8649
3710000 350.4353 254.8515
3720000 346.2268 246.4438
3730000 351.2407 261.7723
3740000 353.2146 273.8618
3750000 355.8429 268.4945
3760000 349.4449 271.8533
3770000 331.9170 273.3404
3780000 345.8663 274.3642
3790000 356.1704 254.2420
3800000 343.2933 256.8739
3810000 333.9416 255.7718
3820000 331.2948 252.3450
3830000 341.7893 252.8860
3840000 340.7421 260.1894
3850000 332.2665 267.8963
3860000 341.5669 252.4607
3870000 346.3625 252.1475
3880000 342.9134 242.3538
3890000 325.5314 246.7314
3900000 321.8185 249.8084
3910000 335.2194 252.1113
3920000 309.6620 257.6610
3930000 332.2493 246.5554
3940000 349.4382 239.0153
3950000 334.9034 253.2010
3960000 322.1809 251.4992
3970000 322.4716 252.3903
3980000 309.8429 244.7695
3990000 344.8417 252.3160
4000000 329.7659 242.4160
4010000 354.6595 251.6058
4020000 330.6275 268.2184
4030000 319.3973 265.2441
4040000 311.1923 274.4063
4050000 328.4282 260.5115
4060000 328.9603 254.3311
4070000 331.8735 252.4161
4080000 321.2935 259.6181
4090000 318.1766 266.9427
4100000 330.1352 276.0471
4110000 337.0798 272.8140
4120000 339.1766 272.8129
4130000 334.3383 262.4017
4140000 308.3165 263.4409
4150000 324.5799 260.6743
4160000 316.8083 274.8939
4170000 338.7544 258.1535
4180000 328.6923 268.3555
4190000 326.9688 253.5076
4200000 319.4023 258.3416
4210000 320.3165 261.1867
4220000 320.8694 272.1379
4230000 340.1370 268.1520
4240000 333.0198 272.7650
4250000 331.4221 259.5217
4260000 305.5543 263.7372
4270000 328.8011 264.0090
4280000 324.0185 273.4512
4290000 322.9327 254.6098
4300000 341.8139 251.1349
4310000 321.8902 254.0032
4320000 341.9050 264.4824
4330000 346.4669 263.4626
4340000 348.9021 258.9056
4350000 324.6509 265.5750
4360000 311.5835 255.9392
4370000 317.5438 264.4446
