Step T_hot T_cold

0 0.0000 0.0000
10000 301.1721 311.3283
20000 287.8964 305.3707
30000 307.8871 297.6605
40000 310.7759 303.4453
50000 322.2268 292.2880
60000 319.8050 308.8009
70000 307.5189 307.9272
80000 296.1359 312.2581
90000 326.2105 312.2496
100000 316.1359 289.9679
110000 327.7789 298.3772
120000 324.5341 295.3245
130000 322.9881 296.4669
140000 323.6911 281.8489
150000 330.0853 289.9069
160000 319.2576 300.3317
170000 322.5010 283.4534
180000 314.4292 286.0400
190000 311.0245 286.9503
200000 325.5321 303.9404
210000 343.9299 285.6214
220000 328.0867 289.3896
230000 319.1899 280.6223
240000 318.3137 284.5111
250000 314.0398 294.4509
260000 315.6678 283.0657
270000 327.3888 292.4219
280000 313.3189 281.4812
290000 312.5366 282.3513
300000 324.1162 285.2711
310000 302.8160 280.5297
320000 320.0154 287.0741
330000 326.5245 280.5380
340000 318.6675 284.0127
350000 317.8590 283.1763
360000 332.3195 286.0274
370000 333.4321 276.0107
380000 331.5438 278.0548
390000 341.5745 275.8027
400000 335.2995 270.0149
410000 344.8445 276.2097
420000 340.0573 270.2105
430000 318.0600 276.9470
440000 342.9224 273.8861
450000 336.6115 286.6227
460000 328.6689 278.5945
470000 341.9353 270.2536
480000 367.1613 281.2030
490000 347.4631 278.0331
500000 353.5028 279.6343
510000 343.1999 275.5500
520000 331.7710 266.3694
530000 311.4769 266.9190
540000 333.4953 278.2860
550000 329.0818 281.9140
560000 321.0305 253.1892
570000 326.7743 267.0809
580000 328.0241 260.6704
590000 335.4343 269.6969
600000 342.3012 263.8066
610000 345.6059 274.7009
620000 356.7712 269.0303
630000 332.3661 270.5648
640000 335.9670 270.4263
650000 333.9811 277.0310
660000 340.9821 283.9637
670000 349.4195 284.9435
680000 333.9675 283.8509
690000 316.4980 282.6670
700000 348.4075 279.2304
710000 329.6209 292.1005
720000 323.5591 282.1919
730000 333.5078 282.3970
740000 324.8312 281.2597
750000 337.5426 272.8297
760000 345.5533 275.0356
770000 324.9378 272.5256
780000 319.1659 268.2955
790000 344.0407 277.4515
800000 344.2949 281.2014
810000 354.5493 292.2272
820000 332.1930 284.2803
830000 318.0592 266.0358
840000 322.4537 272.2315
850000 335.4061 277.0602
860000 316.8396 268.8112
870000 330.2514 267.0022
880000 309.0415 263.1292
890000 320.6955 273.5501
900000 316.2702 269.0098
910000 323.0345 273.8755
920000 336.6520 270.9342
930000 335.5575 264.6668
940000 346.1467 267.1007
950000 336.5718 259.7474
960000 329.3422 252.8785
970000 337.1957 268.4532
980000 342.9780 262.1077
990000 336.1227 263.6480
1000000 343.7023 273.0933
1010000 330.8252 273.3341
1020000 332.5816 256.9832
1030000 328.6907 247.1821
1040000 326.9622 267.5064
1050000 337.3194 267.9473
1060000 333.4340 268.8255
1070000 312.9396 262.6042
1080000 333.5591 268.6866
1090000 337.1632 262.8846
1100000 338.3033 269.4680
1110000 334.2477 263.2857
1120000 333.0725 251.0402
1130000 329.1044 261.5635
1140000 337.8856 269.4554
1150000 340.1439 261.6998
1160000 357.7140 274.2745
1170000 341.5978 259.7892
1180000 328.1758 266.3349
1190000 349.0882 265.6573
1200000 343.2366 251.9595
1210000 347.2484 265.8666
1220000 343.9720 261.0508
1230000 342.0880 266.2942
1240000 324.7228 270.3828
1250000 335.2812 274.6163
1260000 347.1537 271.5293
1270000 336.9858 264.7839
1280000 341.1356 271.1103
1290000 324.9220 270.7957
1300000 344.8999 272.4375
1310000 343.7974 257.7976
1320000 343.5357 267.4268
1330000 345.1988 275.2849
1340000 311.1034 266.2182
1350000 338.0544 267.7305
1360000 340.4019 265.1232
1370000 327.4594 278.2522
1380000 331.8573 259.8745
1390000 325.9671 262.0722
1400000 318.8554 249.8418
1410000 330.0706 245.1541
1420000 343.7299 257.4560
1430000 329.9395 259.6443
1440000 338.0114 277.4819
1450000 329.2829 280.6881
1460000 360.0053 268.5467
1470000 338.4610 268.8653
1480000 337.0303 271.3989
1490000 337.9305 264.2529
1500000 345.4085 266.2016
1510000 355.4237 270.9777
1520000 346.5569 268.0127
1530000 333.2738 282.4144
1540000 339.1585 262.5107
1550000 356.8405 277.0566
1560000 360.1202 260.6496
1570000 352.5645 260.1034
1580000 350.8924 268.3125
1590000 348.9390 273.8953
1600000 350.7387 276.9875
1610000 337.8539 285.6540
1620000 330.7655 277.2337
1630000 351.3777 265.4754
1640000 357.4088 253.5800
1650000 353.1565 266.1404
1660000 357.6878 270.9732
1670000 371.8050 273.0516
1680000 360.4294 274.2045
1690000 348.3796 279.6149
1700000 350.9922 283.7854
1710000 354.2776 273.2457
1720000 341.8073 265.2303
1730000 335.1422 275.1152
1740000 334.9657 285.2605
1750000 321.5046 282.3791
1760000 338.1823 263.1702
1770000 319.1439 261.9025
1780000 345.6945 260.3501
1790000 341.8026 275.6656
1800000 328.9274 274.7973
1810000 315.8923 281.0148
1820000 325.5028 284.3330
1830000 356.6374 269.4609
1840000 345.7382 244.4916
1850000 343.3744 260.3043
1860000 336.4791 282.2871
1870000 345.3803 291.1567
1880000 321.4648 273.9709
1890000 346.5972 260.6412
1900000 342.0660 278.7686
1910000 350.3712 267.9000
1920000 342.0553 274.7522
1930000 346.0928 287.0512
1940000 350.5315 271.2390
1950000 363.2338 273.6758
1960000 342.1379 280.4536
1970000 354.5436 269.9528
1980000 350.1237 280.1670
1990000 348.1685 278.9995
2000000 340.7156 281.5427
2010000 341.3283 256.8554
2020000 330.2665 268.9866
2030000 366.0548 266.5497
2040000 325.9006 274.1591
2050000 344.6058 257.1435
2060000 332.0751 274.0455
2070000 344.2559 273.8503
2080000 335.6591 268.4781
2090000 335.0891 265.5237
2100000 330.1719 258.8028
2110000 346.7077 267.3743
2120000 347.0376 266.3107
2130000 344.6064 265.2533
2140000 335.4441 266.0782
2150000 340.7576 265.8939
2160000 332.1336 282.7047
2170000 310.0595 269.9981
2180000 338.0985 271.1262
2190000 335.6591 256.7470
2200000 328.5978 265.9314
2210000 342.5225 272.3369
2220000 333.4218 266.2218
2230000 350.6268 269.7788
2240000 356.4308 278.1594
2250000 341.5804 264.8212
2260000 331.7089 258.3905
2270000 336.0938 268.5160
2280000 334.1820 269.0397
2290000 342.5528 260.2010
2300000 354.6092 272.4368
2310000 357.0749 280.0977
2320000 335.1488 281.4651
2330000 327.1100 274.3060
2340000 328.8713 276.4660
2350000 333.4299 273.4581
2360000 324.4451 284.0201
2370000 346.7440 282.6563
2380000 339.1549 264.7360
2390000 351.8008 276.7614
2400000 361.5100 272.8721
2410000 352.0591 276.3461
2420000 341.3826 270.8914
2430000 330.9429 274.6614
2440000 347.5381 290.8353
2450000 323.2149 269.3043
2460000 340.2781 270.6780
2470000 312.2111 251.6163
2480000 340.5714 261.3825
2490000 337.5475 267.1259
2500000 350.8353 268.0753
2510000 345.0940 285.5715
2520000 338.7080 267.6092
2530000 323.7189 263.9367
2540000 337.9108 259.7839
2550000 323.2703 280.9574
2560000 338.5624 274.1663
2570000 337.3186 276.8139
2580000 327.9435 273.9508
2590000 336.8702 275.3577
2600000 347.2243 265.0719
2610000 356.5342 257.9819
2620000 340.8269 274.2976
2630000 325.7603 262.6946
2640000 342.4126 278.6735
2650000 345.1079 280.9769
2660000 319.7898 280.8664
2670000 357.9081 271.3485
2680000 346.1970 264.3321
2690000 329.3883 259.6771
2700000 349.4699 270.8782
2710000 350.8488 262.1977
2720000 347.9953 274.9783
2730000 336.3400 259.2656
2740000 322.7044 257.9146
2750000 339.6483 264.8551
2760000 320.0587 260.8694
2770000 336.3865 246.9469
2780000 338.0541 247.7123
2790000 323.2538 268.2958
2800000 326.2632 274.2851
2810000 322.1364 275.7500
2820000 330.3113 279.4546
2830000 324.5758 264.2592
2840000 322.9641 257.4655
2850000 352.6738 268.6567
2860000 329.4040 268.1649
2870000 334.1222 261.9663
2880000 336.1117 262.2585
2890000 338.8293 261.5780
2900000 341.0470 261.8496
2910000 358.7982 257.8832
2920000 337.6238 264.3259
2930000 342.1144 254.0079
2940000 342.7941 257.4348
2950000 337.5275 267.2766
2960000 353.8559 268.3256
2970000 324.1100 264.3053
2980000 350.3216 264.6563
2990000 362.1530 261.4179
3000000 353.1527 258.0300
3010000 363.2069 264.9566
3020000 374.3032 276.1892
3030000 355.0935 268.9280
3040000 358.8915 273.5279
3050000 343.5583 268.1108
3060000 326.8404 273.2827
3070000 316.5856 269.7464
3080000 345.8511 259.1434
3090000 370.1148 274.5748
3100000 349.6004 272.0320
3110000 343.5765 262.3184
3120000 347.7180 251.6094
3130000 359.0478 261.0997
3140000 361.5018 263.9042
3150000 329.0172 261.1852
3160000 351.5843 248.6432
3170000 356.3426 251.4410
3180000 356.4972 253.5187
3190000 367.5572 264.9560
3200000 361.4800 264.5122
3210000 323.6849 270.0303
3220000 352.7756 265.8657
3230000 347.4899 262.7418
3240000 344.0746 259.4294
3250000 355.6214 261.1107
3260000 340.5376 264.6459
3270000 329.5215 275.5609
3280000 342.6222 265.9243
3290000 329.3631 260.3752
3300000 349.7373 278.7466
3310000 344.0508 266.5491
3320000 348.8409 253.6205
3330000 356.7780 266.8940
3340000 360.5389 244.7454
3350000 351.8751 249.0031
3360000 341.4402 254.0487
3370000 344.8388 265.4216
3380000 329.3040 250.0313
3390000 354.3321 253.5763
3400000 344.2306 256.6923
3410000 330.6961 254.1160
3420000 337.4086 258.7980
3430000 339.3449 257.4833
3440000 346.2305 246.1542
3450000 340.3101 270.3584
3460000 333.0845 270.8850
3470000 346.4118 264.7714
3480000 335.9638 271.1063
3490000 343.7495 265.2203
3500000 330.5752 281.4881
3510000 329.9885 277.0165
3520000 346.1851 272.9701
3530000 351.7753 264.6538
3540000 330.8986 260.3311
3550000 349.9435 283.3888
3560000 355.1101 265.3727
3570000 336.4669 271.4489
3580000 362.4097 274.2963
3590000 340.5529 266.5552
3600000 331.2599 286.0742
3610000 329.5022 281.1606
3620000 350.3858 278.8282
3630000 364.2346 276.8917
3640000 331.6931 263.5273
3650000 309.0529 260.1408
3660000 304.7826 268.9479
3670000 345.3140 267.6245
3680000 338.1453 259.6620
3690000 343.2381 257.8236
3700000 342.0033 264.6777
3710000 334.2938 261.8144
3720000 327.5607 264.1555
3730000 362.5800 262.3477
3740000 353.0922 268.5746
3750000 348.2013 267.2234
3760000 342.9910 276.4100
3770000 343.8937 271.2283
3780000 359.4918 271.9508
3790000 348.7380 269.6008
3800000 338.3441 280.0851
3810000 346.4825 275.6664
3820000 359.7032 277.3997
3830000 356.0449 275.3396
3840000 343.8350 280.8742
3850000 346.9222 276.0491
3860000 341.6716 260.6023
3870000 369.4488 271.7616
3880000 346.7110 282.1515
3890000 321.3408 273.4324
3900000 314.3235 267.3246
3910000 342.9319 267.7695
3920000 341.7623 265.3983
3930000 348.0327 283.7149
3940000 332.1028 277.3230
3950000 321.2935 273.1893
3960000 352.6371 275.3819
3970000 346.9332 284.9527
3980000 327.1974 271.8879
3990000 358.0951 273.0772
4000000 316.1693 274.2798
4010000 341.4838 262.3286
4020000 339.0252 268.1075
4030000 337.3875 275.4863
4040000 356.5052 265.3410
4050000 346.0431 261.5034
4060000 339.2353 250.9581
4070000 340.3496 242.9019
4080000 354.9045 250.6952
4090000 355.5563 265.5071
4100000 350.4092 265.1610
4110000 357.9560 264.2215
4120000 338.1454 264.6880
4130000 352.6640 267.0410
4140000 354.9856 269.6492
4150000 357.0450 277.0613
4160000 372.3204 253.6511
4170000 358.8926 259.2260
4180000 360.9543 264.6719
4190000 350.4867 277.7124
4200000 340.4632 282.2416
4210000 356.8158 274.1297
4220000 358.4601 265.6640
4230000 369.0014 257.0893
4240000 364.0731 277.1658
4250000 354.7520 277.0932
4260000 354.4126 266.3220
4270000 373.4498 278.8162
4280000 367.8746 279.3144
4290000 355.6088 259.8302
4300000 344.2032 267.8340
4310000 357.2055 274.0928
4320000 352.8306 283.1291
4330000 351.6374 279.7464
4340000 353.3676 290.7494
4350000 366.0399 268.0909
4360000 372.5896 267.6739
4370000 352.2412 279.1058
