Step T_hot T_cold

0 0.0000 0.0000
10000 345.3228 258.6957
20000 340.2643 262.9077
30000 355.2242 258.7392
40000 351.1275 267.8446
50000 340.4532 260.9803
60000 375.3497 265.4386
70000 346.7235 249.6546
80000 349.1226 264.3487
90000 353.9173 262.0529
100000 357.8068 266.0985
110000 339.8959 254.0859
120000 341.8789 260.8760
130000 348.7634 258.8946
140000 349.9374 261.3683
150000 345.3410 273.1930
160000 356.4853 263.2720
170000 324.3373 250.7482
180000 324.7255 251.7738
190000 332.4479 271.5539
200000 354.2313 255.1669
210000 361.2324 251.1733
220000 364.3215 255.1660
230000 365.2404 260.4273
240000 376.9468 260.4469
250000 358.9944 261.1091
260000 339.3061 277.4832
270000 366.8719 280.4567
280000 359.9029 274.8787
290000 350.1293 258.2787
300000 358.6050 248.3923
310000 355.8641 268.1572
320000 349.2203 273.5517
330000 364.9825 253.5189
340000 345.0856 249.7077
350000 370.0854 259.9266
360000 365.4954 258.3211
370000 345.9170 250.2944
380000 345.9927 263.9601
390000 343.3988 260.2119
400000 343.6221 258.7945
410000 344.0966 257.0947
420000 351.0501 261.7151
430000 356.9040 271.0214
440000 341.0997 252.9053
450000 372.0161 251.6706
460000 368.2837 253.8809
470000 352.4620 258.1831
480000 340.5880 264.7543
490000 344.3579 249.4175
500000 337.4238 265.4688
510000 352.8877 271.7615
520000 377.6106 279.9232
530000 393.1379 262.9726
540000 380.6614 269.5101
550000 355.6570 273.5241
560000 346.3014 266.7975
570000 359.6164 266.4773
580000 342.9274 259.1997
590000 332.5335 274.9930
600000 331.1834 273.7621
610000 340.8950 275.8576
620000 345.6834 286.8279
630000 340.1968 268.0049
640000 327.8664 264.5862
650000 338.2011 262.7202
660000 324.6436 261.5067
670000 343.6182 248.8627
680000 335.2114 258.9970
690000 356.5237 261.8128
700000 349.2636 264.2972
710000 348.4659 279.2407
720000 358.5273 274.2345
730000 348.1511 260.1473
740000 326.1853 266.4391
750000 347.9753 262.0091
760000 363.1067 252.2020
770000 340.3255 266.7255
780000 357.9317 269.3012
790000 339.0480 279.9072
800000 330.6010 256.5998
810000 363.3175 258.5046
820000 342.2327 262.4043
830000 348.4672 252.9959
840000 330.8696 266.3841
850000 330.8370 281.0521
860000 326.9659 266.6288
870000 332.3532 259.1686
880000 332.0170 263.4852
890000 318.3096 256.4872
900000 344.4145 258.9242
910000 358.6828 261.0189
920000 347.6242 267.7722
930000 345.9267 267.4023
940000 337.5209 275.4823
950000 349.9628 258.5052
960000 335.4218 262.1700
970000 349.5069 255.4132
980000 349.8741 255.4076
990000 358.3914 264.9259
1000000 331.7669 254.3141
1010000 352.0604 260.8269
1020000 336.5954 263.7310
1030000 357.3007 254.7463
1040000 363.1674 260.9124
1050000 341.9264 276.0035
1060000 338.0849 275.6264
1070000 343.5030 268.3074
1080000 334.3313 260.8801
1090000 348.8392 263.3575
1100000 366.0354 260.4352
1110000 345.5435 257.7446
1120000 358.6745 261.8910
1130000 354.1565 261.4826
1140000 344.0642 251.5583
1150000 364.3264 257.5011
1160000 337.6507 269.9794
1170000 339.1141 256.8218
1180000 358.9255 274.0237
1190000 366.9475 271.4527
1200000 343.8825 263.9260
1210000 341.9566 262.1448
1220000 348.4874 259.5046
1230000 345.3899 259.2839
1240000 338.2016 274.5401
1250000 348.8747 285.9100
1260000 354.1711 280.1935
1270000 335.7291 287.3783
1280000 335.6369 273.7663
1290000 339.2283 276.4480
1300000 324.7154 273.5555
1310000 342.8252 276.6548
1320000 326.3817 267.3700
1330000 338.6550 268.2703
1340000 324.6076 257.4296
1350000 307.4638 253.2984
1360000 326.3391 247.7427
1370000 309.7126 247.5165
1380000 341.3084 260.7201
1390000 342.0966 266.9718
1400000 336.1423 256.4982
1410000 340.1650 265.9400
1420000 350.7039 269.2902
1430000 354.1866 263.3483
1440000 363.9182 266.3277
1450000 346.9022 270.5137
1460000 331.1856 269.7504
1470000 344.9008 260.1994
1480000 336.8261 259.2400
1490000 340.8249 249.4809
1500000 333.6719 257.8343
1510000 346.4762 253.8068
1520000 332.6374 256.8555
1530000 340.0184 247.0358
1540000 354.4983 264.8385
1550000 354.4435 263.1315
1560000 340.7428 267.3775
1570000 336.5647 277.5348
1580000 344.9257 279.0541
1590000 353.4720 261.0933
1600000 364.4299 265.9990
1610000 342.0790 263.7086
1620000 329.1869 280.2526
1630000 343.9604 259.7715
1640000 342.2474 269.4354
1650000 338.6392 250.4337
1660000 326.3856 255.2773
1670000 326.1144 262.3406
1680000 315.9881 277.2135
1690000 340.6077 263.7343
1700000 339.4070 265.0723
1710000 342.7167 264.6129
1720000 334.7877 265.3807
1730000 356.0270 268.7521
1740000 348.7861 265.6856
1750000 353.3072 265.3416
1760000 337.6806 275.1262
1770000 359.9329 267.5464
1780000 353.0864 268.9971
1790000 349.7166 275.4452
1800000 347.1661 271.4599
1810000 329.9768 270.9369
1820000 344.0593 269.0447
1830000 334.4930 274.4151
1840000 340.4428 275.0356
1850000 330.8159 270.2227
1860000 331.7819 270.9357
1870000 365.3455 279.5151
1880000 331.6788 269.9646
1890000 351.5029 270.6060
1900000 325.7801 263.7397
1910000 335.7944 269.9592
1920000 327.8206 267.9939
1930000 320.2442 270.1974
1940000 332.8618 264.9946
1950000 333.6819 266.6880
1960000 343.4504 266.2532
1970000 316.7937 256.7857
1980000 323.1997 246.1463
1990000 334.8197 248.5534
2000000 338.3015 235.0343
2010000 335.8569 244.0507
2020000 345.8171 248.6460
2030000 337.1294 246.1871
2040000 334.3583 272.2697
2050000 331.9233 264.1910
2060000 335.4267 257.8208
2070000 341.7372 260.5968
2080000 346.7389 261.2142
2090000 345.4943 265.4198
2100000 333.1707 284.2662
2110000 336.6993 256.6846
2120000 337.9618 255.9203
2130000 347.7492 256.2909
2140000 364.8505 270.7581
2150000 345.0322 260.0293
2160000 346.0551 259.0964
2170000 343.2622 259.6460
2180000 341.0290 258.7141
2190000 363.5573 253.2382
2200000 358.9491 255.9610
2210000 355.0912 255.5199
2220000 341.5116 258.7059
2230000 357.1046 272.5540
2240000 358.7356 266.8962
2250000 354.9976 276.1160
2260000 346.9956 265.8904
2270000 353.7194 254.3907
2280000 370.4272 265.2040
2290000 333.1503 262.8437
2300000 353.1345 263.8143
2310000 375.0584 255.1294
2320000 356.6972 261.2509
2330000 355.0095 278.4283
2340000 355.8723 266.3499
2350000 339.3063 267.7490
2360000 362.8407 273.9828
2370000 375.9035 266.3479
2380000 350.4244 252.3008
2390000 354.5667 265.1482
2400000 343.0948 276.1946
2410000 377.9254 251.0327
2420000 375.0546 247.0331
2430000 390.9928 244.1524
2440000 373.2016 252.7491
2450000 362.1363 253.3217
2460000 382.3028 261.0103
2470000 372.1217 267.1444
2480000 381.4589 261.6660
2490000 368.3689 266.2164
2500000 403.6089 258.8548
2510000 357.5902 246.0502
2520000 387.3784 256.0670
2530000 370.0542 259.5579
2540000 352.4987 264.2263
2550000 357.5490 268.1489
2560000 353.9641 260.4321
2570000 352.9202 259.8179
2580000 341.6116 268.2008
2590000 332.1387 260.5643
2600000 350.0567 272.9252
2610000 348.3655 291.0337
2620000 330.3231 257.1055
2630000 337.5236 269.5684
2640000 316.5368 266.2908
2650000 343.9707 260.9948
2660000 333.8562 254.0199
2670000 330.5655 265.4293
2680000 318.8503 264.9798
2690000 345.0378 265.1379
2700000 338.2819 258.1001
2710000 341.7789 268.4272
2720000 321.6276 250.0990
2730000 325.8508 258.6852
2740000 343.1553 266.2753
2750000 351.0641 276.7913
2760000 358.3713 271.4582
2770000 334.1712 269.3184
2780000 338.3787 262.9571
2790000 341.4932 264.1885
2800000 355.0008 274.0297
2810000 311.1251 282.3065
2820000 321.7596 277.3957
2830000 340.2545 267.6179
2840000 333.1801 255.7442
2850000 337.9053 269.9870
2860000 342.1953 267.6150
2870000 308.8233 277.2546
2880000 334.2481 265.7300
2890000 339.2046 276.2669
2900000 353.7573 269.3056
2910000 357.7876 254.7301
2920000 327.5820 271.3918
2930000 340.5844 258.0022
2940000 361.5289 245.2098
2950000 332.5139 258.5046
2960000 359.3377 275.2132
2970000 348.1901 258.7873
2980000 357.4292 245.5368
2990000 340.1444 253.2724
3000000 346.4529 260.9275
3010000 343.4417 262.9981
3020000 349.1071 270.1179
3030000 378.2435 269.7599
3040000 353.7619 259.4805
3050000 352.5772 250.4004
3060000 336.4791 257.1322
3070000 323.2002 249.9899
3080000 317.6902 246.4285
3090000 343.7675 249.2212
3100000 340.8585 264.5597
3110000 335.8587 259.9259
3120000 352.7084 254.9465
3130000 341.3289 260.6588
3140000 338.4417 252.2000
3150000 334.6915 253.0880
3160000 335.6573 255.1900
3170000 326.3320 256.6056
3180000 339.3385 242.3545
3190000 323.3386 235.0601
3200000 331.0392 240.0465
3210000 330.5696 249.1220
3220000 346.3784 256.5733
3230000 379.5204 257.2387
3240000 348.5529 266.3556
3250000 341.6736 259.2682
3260000 323.8324 272.7038
3270000 334.6470 260.0713
3280000 324.5504 258.1436
3290000 334.2589 254.5306
3300000 350.9061 242.2631
3310000 335.1651 263.0430
3320000 339.1000 262.8759
3330000 349.0299 280.1293
3340000 331.4590 263.2496
3350000 353.3163 253.8708
3360000 372.9334 251.6296
3370000 361.7582 256.5564
3380000 343.9552 263.0048
3390000 335.1325 272.7930
3400000 338.8255 271.6878
3410000 341.5653 271.0349
3420000 349.1275 266.2255
3430000 329.1525 271.5982
3440000 340.9497 276.7383
3450000 331.5469 272.0502
3460000 353.4171 265.1750
3470000 362.5225 250.2164
3480000 370.1159 261.9514
3490000 356.4023 253.3282
3500000 368.1493 272.0116
3510000 362.0100 271.3780
3520000 342.3519 269.5074
3530000 388.4601 268.5920
3540000 351.8568 264.7182
3550000 362.0035 259.8809
3560000 350.1231 282.1709
3570000 352.4983 270.7857
3580000 351.2426 274.3568
3590000 333.2437 260.1707
3600000 336.0100 260.3877
3610000 363.8579 258.5597
3620000 356.8232 260.6471
3630000 350.9248 260.1416
3640000 358.0628 261.6464
3650000 370.7223 263.0625
3660000 347.3687 272.4739
3670000 379.1752 270.6223
3680000 352.7656 271.4616
3690000 344.9856 264.3369
3700000 343.2246 269.4541
3710000 348.2196 272.1778
3720000 323.8908 265.4501
3730000 332.5787 269.9229
3740000 305.4709 271.0607
3750000 337.1199 269.1445
3760000 354.2866 273.7784
3770000 336.8288 277.2432
3780000 338.9898 263.4911
3790000 344.8933 262.1859
3800000 332.3531 260.8772
3810000 352.9601 247.6389
3820000 353.9682 260.8190
3830000 352.2534 257.1743
3840000 336.7726 260.9174
3850000 347.6237 275.2644
3860000 343.6255 265.8016
3870000 360.5822 256.8439
3880000 341.9801 272.8895
3890000 356.7264 257.6076
3900000 345.5123 269.0471
3910000 343.6855 259.4920
3920000 354.3684 273.9583
3930000 368.6632 264.2142
3940000 342.2659 265.6119
3950000 343.7662 256.8097
3960000 355.7415 273.2745
3970000 367.8478 259.7554
3980000 388.3402 274.7373
3990000 363.5343 260.1110
4000000 355.6457 258.5952
4010000 355.4412 281.4196
4020000 366.3650 265.5070
4030000 359.6911 252.4782
4040000 346.8984 259.1061
4050000 345.8747 273.9726
4060000 351.2709 265.4679
4070000 337.6788 266.4450
4080000 332.8279 262.6726
4090000 343.9993 251.7746
4100000 337.3578 274.0791
4110000 358.7137 265.3602
4120000 360.1748 267.2493
4130000 361.0620 249.6917
4140000 347.5732 251.7274
4150000 355.0637 255.6995
4160000 344.6444 254.3970
4170000 344.5185 264.0007
4180000 343.3784 263.0024
4190000 346.3039 255.9415
4200000 340.0742 244.7600
4210000 344.4228 250.2122
4220000 350.3520 250.8519
4230000 336.0406 254.5474
4240000 332.9035 267.2773
4250000 334.8739 267.6545
4260000 327.5053 263.7313
4270000 341.1010 252.8759
4280000 353.4067 256.6567
4290000 366.2044 250.0562
4300000 358.2123 248.1420
4310000 358.6353 261.1264
4320000 336.1042 258.9338
4330000 348.5791 274.5543
4340000 354.3894 266.2108
4350000 341.0297 258.8347
4360000 344.2298 266.6281
4370000 352.4464 260.0035
