Step T_hot T_cold

0 0.0000 0.0000
10000 347.0705 233.9371
20000 343.0764 254.1642
30000 352.2699 237.2013
40000 353.2053 252.2768
50000 359.0099 266.1680
60000 345.6949 260.4312
70000 346.4986 246.2387
80000 364.2349 244.2282
90000 360.8650 259.9167
100000 353.2202 256.9438
110000 354.4641 269.0664
120000 377.7073 267.6251
130000 345.9479 264.7088
140000 341.5626 267.5580
150000 356.6753 262.5690
160000 335.9181 264.6351
170000 364.9255 270.3192
180000 343.4097 254.1055
190000 357.6351 264.9602
200000 357.4863 265.9812
210000 349.9725 268.2985
220000 344.0675 269.2552
230000 360.0321 263.2933
240000 345.7141 263.7211
250000 346.2027 270.6950
260000 338.4032 259.4541
270000 329.5006 254.3287
280000 348.7156 258.4495
290000 346.6381 260.0050
300000 378.8727 255.1890
310000 343.4290 257.4768
320000 337.4034 266.9035
330000 353.8995 265.6667
340000 353.3034 256.6867
350000 368.5052 254.0816
360000 353.1858 260.1780
370000 344.2419 253.6766
380000 327.5530 261.0127
390000 348.0476 252.1644
400000 344.9171 268.7648
410000 340.5510 266.2387
420000 336.7488 273.7083
430000 328.3245 274.6049
440000 355.8507 256.6963
450000 339.0448 256.0189
460000 338.3576 257.8500
470000 322.4972 256.0061
480000 325.7227 252.3550
490000 332.3225 267.4160
500000 327.4270 267.7965
510000 322.8083 276.1068
520000 314.3734 267.2795
530000 326.2190 281.8627
540000 322.3131 271.3375
550000 341.3517 270.7229
560000 335.3628 262.3056
570000 317.7367 258.4513
580000 334.7901 267.0671
590000 335.3938 274.9072
600000 330.5619 275.4072
610000 327.6237 269.2526
620000 340.7350 264.6609
630000 341.2542 250.8338
640000 350.9971 262.3459
650000 339.0616 263.0321
660000 321.9310 262.4996
670000 323.3584 262.7161
680000 326.7186 261.0005
690000 338.6298 249.5368
700000 362.7304 258.9822
710000 340.3339 263.1201
720000 328.8918 275.5105
730000 339.0577 282.7202
740000 336.7274 263.8546
750000 338.9440 267.0785
760000 341.8447 285.3973
770000 335.7581 275.6135
780000 341.6121 279.1446
790000 327.3477 279.0725
800000 325.3470 272.1804
810000 359.5322 278.9121
820000 339.5450 275.2017
830000 343.8381 272.7839
840000 339.9121 265.0637
850000 345.5083 281.3410
860000 324.7391 269.8517
870000 328.9866 266.9419
880000 322.4375 281.3316
890000 355.4098 289.4354
900000 327.3280 275.6133
910000 321.5291 277.0383
920000 340.1585 277.4439
930000 328.2660 272.0994
940000 322.9921 268.6110
950000 332.6420 253.1674
960000 316.1081 265.2302
970000 312.4262 256.6278
980000 317.7389 260.6579
990000 338.0027 255.3070
1000000 327.3068 269.9291
1010000 324.7633 275.4391
1020000 325.5841 260.2291
1030000 330.3863 271.9793
1040000 338.0626 263.7206
1050000 318.8784 259.8683
1060000 331.2508 270.3083
1070000 327.3383 273.1815
1080000 364.2793 272.1704
1090000 356.5347 275.5144
1100000 336.0524 282.2536
1110000 323.1791 277.1381
1120000 322.2510 283.0086
1130000 319.5091 275.6527
1140000 323.8519 266.7274
1150000 340.9252 273.2126
1160000 328.9310 287.7826
1170000 310.3505 261.2004
1180000 335.4764 260.4643
1190000 330.5804 264.0446
1200000 349.5827 258.6953
1210000 336.9442 282.7778
1220000 351.7748 268.7035
1230000 325.9134 264.4461
1240000 320.0995 269.2801
1250000 311.4797 250.6855
1260000 331.2645 269.5982
1270000 349.2182 269.2082
1280000 337.7894 267.7608
1290000 343.1266 262.8817
1300000 325.8855 257.8742
1310000 323.4172 260.1624
1320000 324.3002 273.2144
1330000 328.1249 281.2448
1340000 353.6359 270.9718
1350000 334.5219 275.4082
1360000 341.0682 265.5475
1370000 328.7109 256.1451
1380000 326.9320 261.4622
1390000 358.8278 259.1220
1400000 348.9729 266.6171
1410000 327.9975 251.8071
1420000 340.1929 268.2974
1430000 334.6023 272.5195
1440000 337.9988 261.1923
1450000 339.7468 266.7721
1460000 354.1917 257.8327
1470000 337.8894 254.1006
1480000 360.9469 264.8847
1490000 360.0609 261.4004
1500000 349.1523 250.9590
1510000 352.9237 255.4247
1520000 346.3647 259.0574
1530000 362.6072 259.6161
1540000 336.1690 254.1753
1550000 349.7812 255.9228
1560000 340.6136 251.9606
1570000 349.8535 257.1651
1580000 353.9035 263.1774
1590000 341.5782 263.7765
1600000 333.7159 261.2899
1610000 329.7694 254.3251
1620000 344.3171 255.5756
1630000 339.6658 259.5541
1640000 321.0280 254.7380
1650000 352.9783 269.7767
1660000 340.5577 263.4735
1670000 343.7580 269.4584
1680000 349.9479 269.6847
1690000 360.7981 268.8857
1700000 350.3375 266.6832
1710000 330.1140 263.0894
1720000 349.1657 262.9855
1730000 343.6096 272.0981
1740000 340.5550 255.8694
1750000 369.0694 273.8748
1760000 359.8846 261.2566
1770000 353.9499 260.8551
1780000 360.9998 266.8790
1790000 363.3311 280.3739
1800000 373.0568 272.9356
1810000 375.5498 272.0721
1820000 350.3034 266.8040
1830000 350.5514 268.5366
1840000 342.1354 272.7052
1850000 365.1931 254.8079
1860000 354.2492 268.5340
1870000 347.4280 267.9697
1880000 357.8692 262.4589
1890000 385.1408 257.6171
1900000 353.8538 263.2604
1910000 336.4664 263.4591
1920000 352.4431 249.9617
1930000 337.9355 260.8551
1940000 343.0190 262.5726
1950000 343.8014 270.2470
1960000 335.6520 279.0085
1970000 335.3398 256.6346
1980000 319.5143 296.0080
1990000 350.1370 272.6662
2000000 350.2398 272.0403
2010000 323.9834 281.0564
2020000 347.7254 278.4663
2030000 327.1792 265.3137
2040000 352.8049 279.0593
2050000 344.0031 272.2596
2060000 359.8737 272.9692
2070000 352.4313 271.8936
2080000 343.6086 278.5793
2090000 357.0276 273.9384
2100000 339.3874 263.4323
2110000 351.7100 249.7300
2120000 365.9493 255.9223
2130000 367.3486 242.8228
2140000 346.2545 249.8487
2150000 363.6466 255.9087
2160000 350.3586 258.9501
2170000 355.8469 253.0480
2180000 348.0499 255.1068
2190000 338.5731 253.0331
2200000 341.8093 257.8752
2210000 352.7501 260.9569
2220000 335.3289 252.6542
2230000 332.4019 252.8970
2240000 341.5539 260.4760
2250000 347.7976 246.0497
2260000 353.4520 251.3414
2270000 337.6976 265.2338
2280000 336.6763 265.3214
2290000 327.8344 272.6124
2300000 329.9274 260.2058
2310000 350.5091 260.4216
2320000 366.6410 264.3706
2330000 368.5729 263.5183
2340000 373.5155 267.6736
2350000 347.6559 269.8978
2360000 341.9707 268.0591
2370000 352.6908 258.6721
2380000 331.5373 259.7270
2390000 346.6927 268.8766
2400000 346.3956 264.3615
2410000 348.2692 254.2171
2420000 360.6491 252.2012
2430000 353.7007 253.5848
2440000 334.4233 261.8754
2450000 348.9323 259.9826
2460000 386.1301 248.9252
2470000 360.8280 258.3443
2480000 374.0008 266.7581
2490000 359.5703 260.3280
2500000 348.2023 273.8326
2510000 347.1569 263.2464
2520000 342.1600 277.5350
2530000 335.9487 266.5700
2540000 346.1424 267.9037
2550000 347.3379 273.9018
2560000 340.7808 267.6380
2570000 342.0769 271.5666
2580000 347.0415 279.3239
2590000 343.5018 267.5286
2600000 348.9666 251.3647
2610000 373.3230 264.0297
2620000 358.7067 254.2848
2630000 355.5498 275.9468
2640000 333.8762 275.3268
2650000 339.4774 273.5951
2660000 337.1291 277.1412
2670000 340.3118 269.5300
2680000 345.9172 265.4994
2690000 358.5295 266.9563
2700000 328.4713 266.7485
2710000 343.8807 266.0338
2720000 335.8945 270.7913
2730000 346.5024 272.6641
2740000 351.1642 262.9584
2750000 336.8479 275.4037
2760000 329.7403 262.3667
2770000 348.0304 256.4222
2780000 376.3911 264.6242
2790000 351.2212 259.6226
2800000 358.8020 252.5674
2810000 337.9077 259.7695
2820000 334.9497 257.7614
2830000 316.4649 263.8261
2840000 337.2006 259.1467
2850000 353.7004 260.3405
2860000 350.9486 250.4203
2870000 335.9526 248.4283
2880000 344.2175 245.2808
2890000 367.9184 260.0005
2900000 343.9496 260.0383
2910000 333.0874 264.8313
2920000 359.2146 252.8251
2930000 352.4352 263.7222
2940000 347.2401 275.0805
2950000 337.8863 268.4254
2960000 336.0598 259.2507
2970000 332.8380 266.3815
2980000 323.3917 262.3184
2990000 350.5525 266.5193
3000000 346.3469 264.6011
3010000 331.9507 266.1836
3020000 322.9364 265.2761
3030000 326.1499 268.6568
3040000 335.7552 258.5723
3050000 324.1466 249.7871
3060000 353.2373 279.1504
3070000 334.1672 275.2815
3080000 325.7567 266.3732
3090000 321.0024 265.3979
3100000 334.3742 263.9278
3110000 334.9389 259.7774
3120000 320.0800 257.4980
3130000 339.5775 264.5991
3140000 331.5857 258.1989
3150000 332.0220 248.4693
3160000 328.0982 262.9962
3170000 319.1329 259.4133
3180000 316.9032 267.2284
3190000 331.6482 265.5622
3200000 338.3885 266.9642
3210000 339.0935 255.6319
3220000 343.9916 274.1755
3230000 324.4753 265.9929
3240000 350.6870 270.5065
3250000 330.2639 269.2386
3260000 338.3913 262.9506
3270000 339.1390 267.5400
3280000 317.0253 273.8126
3290000 336.1860 271.5854
3300000 330.4098 279.5831
3310000 336.1501 275.3591
3320000 341.3951 264.2136
3330000 352.6140 278.2754
3340000 330.0726 266.1801
3350000 326.3965 243.7449
3360000 326.5782 263.8618
3370000 327.2341 261.0704
3380000 331.1494 264.0762
3390000 344.1757 265.9701
3400000 345.5517 259.6147
3410000 340.3020 261.6910
3420000 343.7410 266.2672
3430000 348.3004 259.5616
3440000 330.8042 265.1748
3450000 344.9327 267.4405
3460000 317.4602 262.2707
3470000 343.9233 259.0665
3480000 346.0479 253.3073
3490000 344.4659 253.3510
3500000 340.6376 266.4215
3510000 345.3050 252.6825
3520000 336.8286 255.5656
3530000 347.7324 274.9628
3540000 361.4280 266.6566
3550000 359.1299 244.3456
3560000 350.2198 244.9829
3570000 339.8727 253.8019
3580000 352.5945 252.9640
3590000 347.7856 250.3215
3600000 339.1565 270.3951
3610000 334.3103 256.4931
3620000 337.2750 273.1223
3630000 322.6270 255.8544
3640000 345.9409 297.7222
3650000 350.1661 264.4770
3660000 338.7098 259.9546
3670000 338.2439 250.0891
3680000 346.8196 247.0072
3690000 317.1483 246.4698
3700000 327.2454 252.9209
3710000 363.0188 269.7468
3720000 370.6820 249.8289
3730000 359.4085 251.7150
3740000 334.1934 265.6867
3750000 322.4786 257.8860
3760000 319.2829 246.5714
3770000 334.6302 248.7408
3780000 330.9145 263.3267
3790000 336.2813 254.3736
3800000 334.4025 258.2974
3810000 329.5960 257.6749
3820000 350.5829 260.8559
3830000 337.4348 264.5646
3840000 326.2892 271.9233
3850000 345.5589 272.4109
3860000 327.6604 255.2888
3870000 341.6640 271.5659
3880000 354.1676 269.6079
3890000 336.6375 268.3902
3900000 312.3096 267.1749
3910000 357.1405 267.8597
3920000 343.5494 267.1565
3930000 327.2865 253.6917
3940000 328.5781 259.6464
3950000 342.2267 262.0579
3960000 364.9766 265.3925
3970000 363.7224 260.8932
3980000 370.4851 268.8055
3990000 346.8681 268.8922
4000000 344.1609 268.0488
4010000 350.2685 269.9091
4020000 343.1210 258.4004
4030000 331.3937 250.6605
4040000 350.9922 261.2130
4050000 315.9669 258.9016
4060000 318.0616 271.3885
4070000 314.2841 255.7486
4080000 326.4951 259.0922
4090000 336.3691 270.3825
4100000 342.9064 278.8909
4110000 339.9590 280.6250
4120000 325.7359 259.1646
4130000 320.0248 260.2849
4140000 329.1314 275.5516
4150000 322.3915 269.5213
4160000 342.9996 267.5535
4170000 325.9579 264.3521
4180000 338.6379 268.0491
4190000 328.8892 264.9457
4200000 320.3038 270.1330
4210000 328.4566 265.5714
4220000 340.5761 261.4793
4230000 332.3170 263.9733
4240000 334.5912 268.2499
4250000 329.5349 258.1585
4260000 353.1276 250.6449
4270000 335.2555 268.3749
4280000 346.0953 268.7344
4290000 354.3525 259.6563
4300000 353.6036 264.9293
4310000 379.7622 259.6432
4320000 349.2408 273.2599
4330000 329.2816 268.3159
4340000 347.3871 265.8478
4350000 332.9648 267.7543
4360000 332.4808 262.1909
4370000 332.9588 266.7924
