Step Temp Pressure Total_Energy Volume Density x_length z_length Total_Heat_Flux

0 297.995259835545 558.216961252014 3004.7174883894899722 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 0
4000 299.677174846516 105.598284822143 3005.0283026823099135 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 3.174424270866730069
8000 298.053296874319 147.204714054602 3005.2211884606499552 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 6.3861726298375298683
12000 299.951397917143 589.382073085461 3005.0292872146901573 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 9.0953187127758905461
16000 303.662373525249 -44.1572923282816 3004.5151334369102187 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 12.109512271508100056
20000 303.465759492668 108.045576198395 3004.2749925407401861 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 14.715256358837599748
24000 297.851224956376 434.581432846052 3004.724063996950008 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 17.071612578449901321
28000 297.958331531531 21.5312888414871 3004.6332901781502187 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 19.474847930949998442
32000 298.595210221372 605.783816945108 3004.8987920267500158 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 22.909347813432301422
36000 300.556297794355 -633.275104348788 3004.8800766399399436 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 25.910329387489099418
40000 301.295677551942 -86.58051065845 3004.5100548220998462 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 28.876727900808401017
44000 298.45677989069 209.901147790332 3004.6925629719698918 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 32.016587384901299629
48000 301.070739388791 345.816238829214 3004.4482723838000311 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 35.648530170052403321
52000 306.503596718819 156.069821558091 3004.2619536020702071 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 38.458213539870001796
56000 301.389590958109 104.686556536185 3004.6103107803201056 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 41.461254971171001671
60000 300.598483377962 -307.702991444452 3004.6261874932702085 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 44.14154804139339916
64000 303.828929765461 270.852549405547 3004.7614946273702117 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 47.648201284295502944
68000 301.851565392835 427.74580375244 3004.5739766596598201 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 50.104906159597000226
72000 297.133842186791 -386.645374130579 3005.0445027898599619 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 52.747058310353096999
76000 300.638601043362 -171.400966372082 3004.9976034062201506 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 55.329407818555800702
80000 302.685713408806 -105.784494264934 3004.6753184243898431 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 57.662579213919002541
84000 303.206854105756 -133.990779963666 3004.7539414240800397 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 60.85525216424620254
88000 300.845330643957 495.311148757985 3004.6918657904998327 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 64.010036661562594418
92000 300.850542951128 271.025859974822 3005.0404754830001366 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 67.588848041907496622
96000 299.727657576658 99.5786557550932 3005.1908847702798084 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 71.806221576316900723
100000 297.68441964599 122.047927890525 3004.9565734773600525 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 74.542594499185895529
104000 297.885826172078 549.593235137841 3005.007265756310062 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 77.404915423910892969
108000 298.431177680748 -117.043621975431 3004.8781609036900591 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 81.12122106539830213
112000 299.541876325795 -126.251362159372 3004.596377837719956 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 86.299529353989498759
116000 298.825419123908 484.507614370798 3004.8119778438699541 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 90.090723797755202895
120000 302.988544951563 152.436333136431 3004.8450755726198622 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 93.353707202020302702
124000 300.468107115623 -348.822523509846 3004.9234177117800755 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 99.084479161782198275
128000 299.798175620369 315.779981429426 3005.035772098419784 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 101.77508941237900331
132000 299.438929216882 477.584605895082 3004.9631225190501027 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 105.67312157027099317
136000 299.997796178081 269.496377711968 3004.6854736882901307 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 108.93500449868099622
140000 300.976436703308 -295.002559629043 3004.9003608640000493 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 112.17469473397899549
144000 298.699203046885 -164.614543642784 3005.0059653096400325 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 115.37798394590599571
148000 302.776321749387 262.460824401714 3004.9292286271697776 167708.905011064 0.87150396265892804415 29.301001239983598623 195.34000826655699257 118.69066995501100337
