Step T_hot T_cold

0 0.0000 0.0000
10000 309.4474 276.6618
20000 300.7469 283.4030
30000 288.1803 280.5140
40000 299.8152 294.8087
50000 312.7357 287.3121
60000 310.7948 284.1339
70000 311.7057 293.9599
80000 306.4932 279.4684
90000 325.1691 288.6263
100000 297.1085 278.9446
110000 324.4291 296.2813
120000 320.1824 291.5381
130000 320.2324 287.2481
140000 325.2993 281.5416
150000 310.9105 292.2442
160000 302.3168 281.6957
170000 308.6523 281.2571
180000 306.8951 305.1681
190000 301.4389 290.9453
200000 319.4384 298.1540
210000 329.9009 288.9357
220000 320.2571 269.7835
230000 307.4162 278.0740
240000 325.3264 285.7945
250000 319.6587 279.2668
260000 313.6490 292.9364
270000 293.3866 292.4103
280000 323.7764 285.4626
290000 297.1001 271.8246
300000 307.5816 270.7929
310000 349.6868 276.0647
320000 344.7682 303.9129
330000 314.5403 281.3824
340000 314.1879 294.5220
350000 317.1341 276.6684
360000 328.0389 282.4796
370000 318.2982 266.6119
380000 311.7639 268.6550
390000 330.9107 259.2964
400000 336.6479 276.3424
410000 322.7952 284.6923
420000 329.7142 270.4573
430000 338.0400 283.4520
440000 331.0227 280.5906
450000 335.8682 277.0364
460000 310.7804 269.7085
470000 322.6255 275.1754
480000 345.5373 280.2331
490000 330.7002 277.7086
500000 344.2547 285.6094
510000 320.4208 287.2721
520000 324.4169 280.6147
530000 336.0919 293.7872
540000 311.6537 270.1641
550000 319.4422 287.1557
560000 331.2273 286.9102
570000 314.6325 279.5162
580000 324.8199 268.3886
590000 323.6454 270.7539
600000 341.1678 279.7782
610000 331.9810 270.4067
620000 346.5283 277.9354
630000 330.6859 271.7068
640000 341.3854 268.6747
650000 350.6920 274.5110
660000 346.3112 275.3453
670000 329.5932 282.6107
680000 328.2166 276.4971
690000 332.5343 286.6257
700000 327.7074 273.6851
710000 336.4376 274.7645
720000 363.7110 267.9193
730000 335.9464 256.9923
740000 344.5179 270.0513
750000 350.6365 270.5739
760000 359.1826 267.7529
770000 348.7803 265.1598
780000 347.0450 271.9132
790000 356.8830 272.4256
800000 356.0318 255.0863
810000 348.5546 261.9790
820000 349.8490 260.1741
830000 345.3141 260.0899
840000 359.6677 260.9120
850000 349.4569 263.4811
860000 365.2323 255.5085
870000 355.6341 269.3697
880000 335.4454 273.8848
890000 316.2488 260.8140
900000 327.1728 268.6120
910000 336.8826 267.3085
920000 326.8822 276.5525
930000 344.2894 267.0740
940000 357.4537 268.2057
950000 326.1917 272.5903
960000 336.1783 274.1585
970000 329.6330 277.4476
980000 338.8097 265.9961
990000 330.5790 262.4956
1000000 332.3486 262.1362
1010000 332.5902 256.8517
1020000 354.1061 257.8850
1030000 348.3611 265.7523
1040000 333.9067 268.7421
1050000 312.5891 259.2247
1060000 352.5913 271.3672
1070000 349.0092 271.9791
1080000 327.0506 261.8672
1090000 340.3758 270.2894
1100000 337.2054 272.8368
1110000 351.3226 285.4028
1120000 325.4197 287.8608
1130000 327.7266 271.9209
1140000 341.6562 259.3894
1150000 342.5014 264.5681
1160000 330.1528 255.1578
1170000 346.5695 270.2948
1180000 354.4860 269.7856
1190000 349.8578 275.6906
1200000 340.2987 272.9889
1210000 344.4981 271.8295
1220000 347.3585 282.4369
1230000 339.8054 266.2446
1240000 331.5985 264.6854
1250000 331.7327 278.9323
1260000 351.4473 265.8552
1270000 347.6058 265.8202
1280000 371.5325 264.2136
1290000 354.0173 266.2877
1300000 337.4281 277.3202
1310000 337.6340 278.9922
1320000 360.4512 269.0233
1330000 345.7315 264.1904
1340000 350.1961 256.7008
1350000 335.7797 261.5605
1360000 308.3033 266.5759
1370000 330.0350 270.1854
1380000 332.3785 260.6373
1390000 337.5276 266.8055
1400000 344.4081 269.9374
1410000 324.4931 252.8010
1420000 304.9168 247.2085
1430000 349.0387 263.0180
1440000 316.9872 268.0032
1450000 354.0005 264.2821
1460000 329.7275 270.0023
1470000 341.9581 270.3945
1480000 334.9875 274.3584
1490000 339.4878 268.3195
1500000 344.7153 272.3673
1510000 345.4453 264.2078
1520000 363.1210 264.4249
1530000 375.8137 277.8687
1540000 350.6807 268.0854
1550000 338.1921 265.6607
1560000 340.4337 277.0541
1570000 354.4921 272.2731
1580000 355.4808 276.7337
1590000 331.3318 276.1441
1600000 351.4213 278.8282
1610000 369.9263 276.1198
1620000 364.7599 268.8803
1630000 351.7077 268.4808
1640000 328.9834 260.6515
1650000 338.6355 272.8056
1660000 322.5276 274.8870
1670000 342.3607 285.8611
1680000 348.4009 264.2099
1690000 338.1661 270.1818
1700000 335.3965 269.5235
1710000 325.7878 257.4591
1720000 331.0124 268.3772
1730000 313.7624 268.9971
1740000 317.4092 273.9325
1750000 341.2061 258.1074
1760000 355.1770 263.5657
1770000 340.8164 268.5118
1780000 329.1277 267.6534
1790000 337.7695 274.6885
1800000 343.6051 278.6973
1810000 358.7035 268.0120
1820000 361.5537 262.9467
1830000 333.9735 274.0321
1840000 331.0310 266.7042
1850000 327.6709 266.5482
1860000 327.0067 272.6711
1870000 360.1448 268.1152
1880000 339.6233 260.2742
1890000 356.5717 256.9777
1900000 357.7591 255.0476
1910000 327.4153 251.0640
1920000 352.7774 254.8551
1930000 352.2068 265.8196
1940000 358.7971 253.3495
1950000 333.4342 257.0783
1960000 324.1642 255.4984
1970000 328.2338 279.0627
1980000 336.7792 277.2792
1990000 344.2038 270.2947
2000000 349.7225 265.7595
2010000 347.4855 253.6230
2020000 337.5091 264.1967
2030000 347.9925 265.7819
2040000 355.3110 276.9182
2050000 344.3364 274.4072
2060000 346.3622 269.8400
2070000 350.6973 274.1283
2080000 333.6639 274.4575
2090000 356.4063 277.7355
2100000 353.6848 268.9328
2110000 342.2819 270.2705
2120000 325.7636 267.7770
2130000 322.6393 287.0217
2140000 341.5357 285.0554
2150000 347.6868 277.5019
2160000 323.1362 257.6715
2170000 341.0991 251.7351
2180000 333.7703 259.7085
2190000 338.0265 263.6991
2200000 340.4589 265.1150
2210000 328.9875 258.2796
2220000 339.9125 257.5681
2230000 310.3673 251.8235
2240000 342.7158 266.9931
2250000 321.4118 263.9912
2260000 327.2267 253.7002
2270000 332.6227 266.3959
2280000 352.5714 255.8582
2290000 347.8002 266.3122
2300000 330.9003 247.3450
2310000 340.8446 260.4657
2320000 321.1035 270.0343
2330000 322.9764 251.7017
2340000 333.6753 260.0154
2350000 342.0474 256.9225
2360000 341.7883 248.4887
2370000 342.8590 257.7192
2380000 341.9299 263.0504
2390000 343.1446 261.9535
2400000 341.4791 267.6008
2410000 346.6061 264.3750
2420000 340.2338 273.6649
2430000 346.0995 266.4641
2440000 353.0639 263.7662
2450000 353.4533 257.9194
2460000 374.7927 270.2734
2470000 359.4734 255.3323
2480000 348.8930 280.7642
2490000 342.4409 280.9532
2500000 362.0157 268.9038
2510000 359.5005 263.9956
2520000 338.6059 267.7590
2530000 355.2889 281.5990
2540000 337.4826 278.3310
2550000 323.9560 277.2955
2560000 347.5796 262.2552
2570000 336.7020 270.5497
2580000 332.8003 276.5851
2590000 353.3344 257.1046
2600000 346.2899 259.0402
2610000 375.4308 257.6252
2620000 348.3758 270.4798
2630000 342.6386 276.6409
2640000 343.2740 266.4227
2650000 348.7243 272.1972
2660000 341.0054 277.6556
2670000 340.1413 262.9322
2680000 337.6582 261.7621
2690000 324.4300 259.8115
2700000 344.7427 263.8383
2710000 340.6774 263.1194
2720000 317.2145 268.0208
2730000 335.2882 277.4006
2740000 354.4222 268.1895
2750000 331.0293 283.1838
2760000 337.0285 270.2679
2770000 336.9262 278.7886
2780000 317.6952 281.5866
2790000 326.7227 265.9029
2800000 317.8516 280.7090
2810000 332.7826 280.9692
2820000 324.2960 262.1536
2830000 320.6159 268.5578
2840000 347.7023 294.6639
2850000 330.3967 282.5003
2860000 354.5260 269.5763
2870000 374.5046 264.7270
2880000 342.1253 266.7867
2890000 353.5381 278.5186
2900000 342.8928 264.7648
2910000 356.0301 264.2752
2920000 352.8853 270.0396
2930000 338.1034 270.8934
2940000 321.5016 262.1124
2950000 318.1750 266.2566
2960000 316.8150 261.6630
2970000 319.5980 270.7471
2980000 323.1283 262.4958
2990000 331.6319 260.2161
3000000 332.6588 266.7051
3010000 320.8050 261.2113
3020000 308.6523 265.6698
3030000 325.6621 280.2162
3040000 325.5756 278.1854
3050000 333.3633 268.7275
3060000 324.6051 269.7868
3070000 337.7161 262.1600
3080000 330.6464 264.1219
3090000 329.6667 252.5740
3100000 348.9332 254.7114
3110000 355.3983 259.0222
3120000 338.3731 266.8972
3130000 339.3265 254.4217
3140000 352.7856 258.3684
3150000 312.2431 253.6169
3160000 333.0933 257.5999
3170000 343.9056 260.1359
3180000 348.6649 254.4007
3190000 332.0539 269.8803
3200000 327.8455 261.8444
3210000 331.3262 249.7361
3220000 336.5423 253.5483
3230000 339.0186 257.7124
3240000 331.7514 255.3615
3250000 331.6245 248.9870
3260000 342.5500 268.3214
3270000 378.9618 254.4842
3280000 363.7153 266.3989
3290000 356.7630 262.8008
3300000 350.2607 267.2771
3310000 349.4704 258.7921
3320000 355.9173 273.4238
3330000 356.7864 272.7960
3340000 372.9596 275.3738
3350000 359.4402 257.7188
3360000 332.6437 262.9091
3370000 330.5624 262.6187
3380000 342.2961 262.9483
3390000 321.7350 277.8636
3400000 360.3250 270.1924
3410000 345.9435 279.6885
3420000 325.9379 270.3131
3430000 336.9140 264.0693
3440000 356.1577 279.8347
3450000 355.3797 273.1248
3460000 347.7966 274.1544
3470000 325.8764 263.2380
3480000 328.0248 253.5909
3490000 364.4189 268.5087
3500000 368.1884 252.8732
3510000 356.1804 270.6149
3520000 326.7499 251.3643
3530000 342.3082 269.8690
3540000 334.4157 278.1326
3550000 349.6313 273.5955
3560000 335.2103 270.2946
3570000 321.5594 263.1776
3580000 315.5878 258.1908
3590000 335.0448 266.7320
3600000 340.5032 269.3243
3610000 317.2433 257.9849
3620000 324.6257 263.5011
3630000 324.6493 263.0352
3640000 339.7975 272.0823
3650000 332.3574 261.2614
3660000 319.9805 255.3183
3670000 317.1251 258.3564
3680000 324.6903 269.1485
3690000 320.6558 261.3836
3700000 336.1002 265.5950
3710000 330.8279 263.6881
3720000 337.0608 272.3055
3730000 347.6524 261.2574
3740000 350.6336 274.3795
3750000 312.8023 260.7251
3760000 300.3011 259.3917
3770000 327.1080 256.4630
3780000 322.1260 257.3828
3790000 330.0835 268.6324
3800000 333.9303 260.3852
3810000 333.6215 269.7234
3820000 339.1277 258.0375
3830000 353.3534 271.1986
3840000 349.1618 264.9948
3850000 355.7102 263.0925
3860000 327.4814 269.3342
3870000 316.5185 255.4033
3880000 346.9191 266.0544
3890000 326.4994 255.7974
3900000 327.2071 251.6721
3910000 324.2143 260.6203
3920000 355.3970 261.1432
3930000 355.2272 253.9811
3940000 355.7992 255.3452
3950000 354.6917 266.6266
3960000 333.9648 256.8470
3970000 324.3893 253.5378
3980000 336.5243 263.8997
3990000 336.1331 255.5179
4000000 338.2435 260.5095
4010000 334.4957 251.2889
4020000 321.1512 261.3315
4030000 334.7114 265.1542
4040000 327.6417 266.5795
4050000 344.8544 266.9493
4060000 362.6137 265.5076
4070000 332.1765 266.9736
4080000 327.1235 273.5800
4090000 354.1723 267.5991
4100000 359.9162 267.0524
4110000 352.8090 258.3110
4120000 357.5909 263.3226
4130000 356.0652 260.5834
4140000 335.9019 254.8177
4150000 354.2281 253.5025
4160000 349.0559 278.6182
4170000 353.5886 264.5720
4180000 342.7624 263.8238
4190000 349.0473 265.9717
4200000 365.1712 261.0603
4210000 371.7469 254.3770
4220000 368.6383 250.5053
4230000 371.4802 263.7986
4240000 353.2921 273.9947
4250000 353.3374 257.4211
4260000 347.0241 271.6806
4270000 339.3618 268.2498
4280000 338.8578 262.9794
4290000 353.2248 255.8636
4300000 345.9487 268.4566
4310000 338.7300 253.9748
4320000 351.3001 260.3726
4330000 344.0442 267.6014
4340000 340.4605 256.0035
4350000 344.4779 263.8238
4360000 329.0176 259.8910
4370000 333.0683 259.5546
