# Time-averaged data for fix DensAve
# TimeStep v_Density
100000 0.86842
200000 0.864773
300000 0.86908
400000 0.871196
500000 0.874335
600000 0.874176
700000 0.870279
800000 0.874655
900000 0.871996
1000000 0.87663
1100000 0.876982
1200000 0.880937
1300000 0.881815
1400000 0.881992
1500000 0.878828
1600000 0.875472
1700000 0.872988
1800000 0.876249
1900000 0.880664
2000000 0.880767
2100000 0.875204
2200000 0.87029
2300000 0.873187
2400000 0.871796
2500000 0.86766
2600000 0.868039
2700000 0.868376
2800000 0.868724
2900000 0.870526
3000000 0.875309
3100000 0.881409
3200000 0.877626
3300000 0.871645
3400000 0.871158
3500000 0.874776
3600000 0.877392
3700000 0.873521
3800000 0.870675
3900000 0.872438
4000000 0.876488
4100000 0.871591
4200000 0.872553
4300000 0.865707
4400000 0.860289
4500000 0.865257
4600000 0.863668
4700000 0.859824
4800000 0.860609
4900000 0.865291
5000000 0.863141
5100000 0.860166
5200000 0.864387
5300000 0.864087
5400000 0.862336
5500000 0.866541
5600000 0.865511
5700000 0.861704
5800000 0.862338
5900000 0.862367
6000000 0.860479
6100000 0.863742
6200000 0.867518
6300000 0.868453
6400000 0.864747
6500000 0.864659
6600000 0.861813
6700000 0.869624
6800000 0.865899
6900000 0.867626
7000000 0.873848
7100000 0.871318
7200000 0.870672
7300000 0.871727
7400000 0.877831
7500000 0.87243
7600000 0.873814
7700000 0.877519
7800000 0.873749
7900000 0.874767
8000000 0.873413
8100000 0.867608
8200000 0.868944
8300000 0.873653
8400000 0.873993
8500000 0.87469
8600000 0.879183
8700000 0.876074
8800000 0.880234
8900000 0.883676
9000000 0.882227
9100000 0.878244
9200000 0.878143
9300000 0.882275
9400000 0.879441
9500000 0.873104
9600000 0.879609
9700000 0.876736
9800000 0.874915
9900000 0.871127
10000000 0.869606
10100000 0.872993
10200000 0.872993
10300000 0.872993
10400000 0.872993
10500000 0.872993
