Step T_hot T_cold

0 0.0000 0.0000
10000 334.2464 250.2555
20000 337.9294 249.4582
30000 339.7545 258.6480
40000 339.2401 254.9045
50000 346.6457 256.6459
60000 332.0916 251.7577
70000 321.6472 256.0287
80000 327.5698 253.6755
90000 332.7275 240.8907
100000 323.5546 239.6111
110000 329.9765 251.3089
120000 327.4750 242.2559
130000 312.3763 249.1964
140000 327.5583 246.6572
150000 335.6970 248.5297
160000 332.2708 253.8935
170000 314.8861 254.8181
180000 331.9294 262.1831
190000 329.7605 263.9373
200000 319.3656 273.2388
210000 328.7123 268.8412
220000 339.3350 262.4037
230000 356.6291 277.8741
240000 356.2008 266.4785
250000 340.6268 267.0895
260000 313.5211 278.7852
270000 325.7292 271.3899
280000 325.8101 250.1788
290000 334.3271 256.8563
300000 326.1890 257.0186
310000 346.3090 254.5532
320000 329.5343 255.1710
330000 326.4083 263.9838
340000 361.9926 257.4703
350000 345.0123 256.2843
360000 350.2038 263.7536
370000 343.7956 267.7956
380000 323.0026 269.1713
390000 332.6784 262.6622
400000 335.1312 249.2294
410000 344.6593 250.2681
420000 355.7260 254.2122
430000 346.9095 253.0854
440000 335.4578 254.1021
450000 317.5543 255.9757
460000 321.6366 264.6166
470000 332.4394 269.3018
480000 342.5211 260.0968
490000 315.4516 272.2062
500000 345.2067 274.6783
510000 342.8722 269.3341
520000 363.6996 271.2689
530000 366.6910 263.5426
540000 338.9977 243.6938
550000 331.8157 267.0649
560000 335.5230 259.1591
570000 340.0510 270.6341
580000 346.5092 269.9732
590000 358.3567 263.4160
600000 347.2043 265.4139
610000 326.1649 261.5651
620000 334.7711 264.5360
630000 306.0521 270.6158
640000 315.5080 265.3132
650000 325.8842 272.7051
660000 336.6675 265.5277
670000 352.0443 266.6726
680000 338.8656 259.5383
690000 326.8418 267.3925
700000 333.2681 275.9622
710000 340.7000 254.9204
720000 324.9278 252.0086
730000 321.1819 258.9890
740000 334.7658 260.2108
750000 355.5748 253.2981
760000 347.9046 265.4409
770000 331.0273 269.0441
780000 339.1113 262.5100
790000 367.9978 258.7274
800000 352.4507 256.1747
810000 345.1228 264.4588
820000 364.6262 260.7385
830000 376.0049 256.8390
840000 361.0092 256.0534
850000 342.4831 267.4839
860000 340.3044 274.9300
870000 340.8730 262.6781
880000 324.5955 265.0245
890000 321.2028 260.1341
900000 341.3585 259.9112
910000 335.6780 268.6153
920000 339.5014 264.9949
930000 339.0271 278.0614
940000 332.8657 267.5528
950000 350.6578 256.8287
960000 333.8855 255.5509
970000 345.9008 257.4332
980000 327.2308 252.8196
990000 330.5249 260.9798
1000000 326.0281 269.6673
1010000 337.9873 267.1479
1020000 328.5792 261.7491
1030000 337.4330 269.3331
1040000 329.7369 266.0840
1050000 344.4902 253.6045
1060000 341.9236 245.7595
1070000 338.9307 245.2113
1080000 339.6901 254.5255
1090000 340.5396 254.5250
1100000 332.6733 256.1114
1110000 312.8830 249.4584
1120000 327.1129 249.1413
1130000 333.8336 264.0412
1140000 336.6126 260.9542
1150000 336.3405 262.3150
1160000 346.8772 249.5656
1170000 344.6869 253.3485
1180000 351.4089 253.7177
1190000 335.9328 248.2198
1200000 335.0288 265.3261
1210000 335.3804 260.0257
1220000 346.0516 265.4567
1230000 351.0220 258.0616
1240000 333.4378 258.6836
1250000 335.7714 257.1781
1260000 338.4621 264.5392
1270000 368.0587 270.4965
1280000 347.8843 267.9818
1290000 354.1908 261.7293
1300000 356.1694 251.3885
1310000 341.8690 255.6583
1320000 358.5661 270.1205
1330000 355.3222 251.0414
1340000 342.2446 241.7695
1350000 339.3600 255.1281
1360000 315.0498 241.7802
1370000 323.4859 239.2809
1380000 363.5962 261.2023
1390000 326.0925 261.9534
1400000 340.5890 266.4847
1410000 342.1612 262.2256
1420000 329.3345 256.6497
1430000 329.5889 260.4393
1440000 316.2052 257.6276
1450000 331.1519 258.0848
1460000 344.9017 264.6541
1470000 340.4881 269.3338
1480000 335.7573 260.9248
1490000 340.4478 273.0752
1500000 325.6970 277.8448
1510000 340.5800 264.9314
1520000 353.5041 263.8699
1530000 349.8148 271.2011
1540000 350.5523 277.6999
1550000 326.9065 263.2488
1560000 344.4236 261.2062
1570000 352.3087 257.9185
1580000 338.4051 250.9293
1590000 331.5861 245.9880
1600000 346.4042 258.7375
1610000 323.3681 253.0323
1620000 309.9309 254.0894
1630000 312.6324 246.5372
1640000 337.7524 245.8782
1650000 346.7669 246.5675
1660000 339.6286 263.7301
1670000 333.0752 262.6793
1680000 334.6632 266.8121
1690000 334.1352 260.1311
1700000 337.3449 270.2432
1710000 323.3208 252.4814
1720000 334.4886 264.2662
1730000 348.0227 271.5550
1740000 367.0802 266.8653
1750000 360.5467 262.3287
1760000 340.0089 266.7416
1770000 351.9811 260.7636
1780000 371.3062 268.7848
1790000 349.6668 262.3690
1800000 356.8934 247.8491
1810000 348.1888 240.0935
1820000 345.0403 255.0915
1830000 328.3875 254.5981
1840000 327.2139 255.4751
1850000 328.3143 259.7277
1860000 333.6655 248.8577
1870000 334.1426 261.9585
1880000 332.4097 260.3301
1890000 325.7827 268.9735
1900000 330.9563 244.6743
1910000 340.9752 253.6052
1920000 324.7679 243.1429
1930000 340.0293 242.1801
1940000 338.8359 249.9769
1950000 340.0848 242.5979
1960000 332.3352 254.6767
1970000 339.3387 257.4192
1980000 321.3855 250.3101
1990000 340.6622 255.7914
2000000 326.2887 266.1375
2010000 336.0829 254.9387
2020000 336.8276 262.6757
2030000 318.0970 261.9287
2040000 321.5020 258.6062
2050000 340.9999 254.9072
2060000 361.7216 246.3463
2070000 349.2942 248.5898
2080000 343.7289 241.8856
2090000 338.6312 256.6123
2100000 345.2819 262.6614
2110000 359.1039 255.3144
2120000 329.2105 265.5647
2130000 359.1852 253.0702
2140000 320.8505 256.3801
2150000 345.6059 273.2479
2160000 332.8241 265.3414
2170000 324.2370 268.9948
2180000 317.9673 255.3270
2190000 354.7893 259.0627
2200000 341.1728 255.4131
2210000 313.6024 256.5121
2220000 306.9077 253.9909
2230000 319.4854 256.3566
2240000 311.1892 260.1158
2250000 336.1261 250.3831
2260000 318.8058 248.3252
2270000 323.9704 266.4608
2280000 327.8727 286.3960
2290000 331.3644 264.2876
2300000 350.0061 257.6175
2310000 371.9157 274.0266
2320000 350.2850 252.9490
2330000 339.2227 260.6368
2340000 326.3088 269.5523
2350000 345.2366 270.5831
2360000 355.8087 259.4633
2370000 337.5229 256.5698
2380000 324.6199 251.2284
2390000 320.0438 259.3786
2400000 324.6592 257.7482
2410000 339.1416 267.3171
2420000 350.0933 252.4867
2430000 355.0276 250.8166
2440000 358.3459 258.4073
2450000 338.3744 265.0818
2460000 332.0404 274.3415
2470000 330.1045 265.0721
2480000 337.1846 263.9250
2490000 336.1331 265.6586
2500000 356.1390 256.4711
2510000 353.2021 274.2169
2520000 346.7685 252.4084
2530000 340.5292 245.7866
2540000 340.2003 245.8389
2550000 354.9227 258.1225
2560000 348.0140 256.1697
2570000 321.2560 254.8773
2580000 323.8489 252.0332
2590000 340.3467 253.0576
2600000 343.6431 241.1700
2610000 341.5616 242.1403
2620000 323.7269 263.1670
2630000 318.6140 251.0875
2640000 327.1130 249.8336
2650000 307.3685 246.0308
2660000 325.9811 244.6846
2670000 335.4564 235.2874
2680000 347.5860 244.3103
2690000 336.3262 254.2062
2700000 336.3287 258.6908
2710000 334.1659 256.9665
2720000 343.9350 259.9861
2730000 342.2599 255.5394
2740000 333.4454 256.5250
2750000 317.5425 268.0080
2760000 324.4973 255.1175
2770000 331.9871 262.6394
2780000 338.3166 266.9309
2790000 339.3949 270.4692
2800000 329.9185 261.1994
2810000 332.5467 252.3545
2820000 349.2088 259.3458
2830000 341.6185 259.9654
2840000 352.1630 269.0317
2850000 348.6398 252.0134
2860000 346.4623 250.8570
2870000 333.0081 252.6814
2880000 351.2210 248.5628
2890000 354.8498 250.9770
2900000 348.9181 251.3759
2910000 333.4871 259.6788
2920000 346.7681 253.2021
2930000 329.4805 257.1633
2940000 325.8759 266.6074
2950000 348.2941 260.5169
2960000 356.9282 263.9418
2970000 361.0421 259.4691
2980000 362.2834 266.1324
2990000 334.1721 276.5279
3000000 355.0924 271.7793
3010000 364.8725 262.7519
3020000 361.8810 246.7086
3030000 342.7567 256.9817
3040000 342.6437 267.1216
3050000 330.0282 262.5349
3060000 331.9861 261.6640
3070000 333.8668 256.5409
3080000 340.9089 268.8161
3090000 330.4897 255.7630
3100000 348.1737 263.4054
3110000 322.5113 256.2569
3120000 342.0337 263.0386
3130000 355.5645 267.5624
3140000 349.1381 273.2825
3150000 336.4222 277.4524
3160000 336.7384 261.5605
3170000 359.2741 258.3644
3180000 360.7778 255.4370
3190000 378.2757 253.2868
3200000 352.7875 247.5913
3210000 359.2335 248.9377
3220000 367.1651 249.6497
3230000 367.1259 252.1326
3240000 389.3578 249.8038
3250000 360.6610 242.7028
3260000 330.6561 259.3428
3270000 335.9448 249.8956
3280000 350.7717 251.7028
3290000 355.8623 252.8057
3300000 336.3555 251.0578
3310000 335.2786 245.2140
3320000 335.3619 260.8545
3330000 355.3139 254.4107
3340000 338.9732 246.2834
3350000 349.9462 266.0667
3360000 322.2838 273.3249
3370000 332.3255 257.0569
3380000 336.8726 242.0895
3390000 340.2677 251.0163
3400000 331.2560 254.4704
3410000 329.4592 246.9888
3420000 321.2151 237.4882
3430000 344.1140 253.2677
3440000 345.8593 256.6934
3450000 329.8058 242.4832
3460000 337.6358 249.8515
3470000 349.6275 257.8678
3480000 366.4888 256.5310
3490000 349.4126 259.0889
3500000 354.4858 269.3767
3510000 361.9897 270.9239
3520000 352.6670 277.6329
3530000 353.3766 258.4117
3540000 347.6307 253.5402
3550000 330.7856 241.8031
3560000 366.9197 255.1566
3570000 344.7201 261.6379
3580000 351.6938 270.5938
3590000 327.7755 249.2928
3600000 345.3010 255.5427
3610000 321.9312 267.3040
3620000 327.4916 282.3122
3630000 345.0923 264.3823
3640000 344.8145 264.0429
3650000 349.0139 264.3267
3660000 331.3908 252.5145
3670000 342.2912 262.6739
3680000 342.5389 257.7005
3690000 355.7145 256.0273
3700000 339.0994 262.5179
3710000 325.4467 260.0548
3720000 357.0129 251.4633
3730000 333.7584 260.7226
3740000 346.0046 260.8972
3750000 364.4116 261.8660
3760000 343.9772 249.9914
3770000 346.0353 263.3875
3780000 349.8928 262.0455
3790000 331.1048 266.0036
3800000 335.2884 264.7737
3810000 337.4291 258.3209
3820000 347.8815 252.3559
3830000 356.3814 250.2090
3840000 348.6935 267.0581
3850000 345.5220 272.3982
3860000 314.8899 257.1613
3870000 341.6627 253.8502
3880000 337.3994 257.7369
3890000 344.6408 250.1898
3900000 335.0673 256.0560
3910000 354.0853 255.3818
3920000 338.8968 264.4236
3930000 332.1019 254.8012
3940000 331.5379 247.2454
3950000 325.2100 248.8035
3960000 346.8975 252.9946
3970000 302.0958 241.8763
3980000 327.5723 247.8804
3990000 340.9404 246.1274
4000000 342.2953 246.2909
4010000 333.3063 250.3195
4020000 331.6517 248.1963
4030000 329.4946 243.6724
4040000 344.2164 260.0284
4050000 351.5700 248.1388
4060000 355.2647 242.8476
4070000 342.9779 249.3812
4080000 332.9688 263.8301
4090000 326.1602 277.9161
4100000 318.7603 250.4987
4110000 336.6562 260.0086
4120000 343.8798 260.9586
4130000 334.2876 269.2869
4140000 336.1749 250.9113
4150000 348.4536 260.3987
4160000 348.5059 258.9385
4170000 323.9020 266.1270
4180000 349.7667 237.7219
4190000 319.6999 245.2856
4200000 355.5123 253.4041
4210000 341.6663 266.2108
4220000 329.4797 269.2489
4230000 340.2776 271.8408
4240000 356.7147 266.8563
4250000 349.1882 261.5721
4260000 346.8991 272.3637
4270000 357.3513 263.8490
4280000 334.3199 254.8176
4290000 341.7454 250.4175
4300000 335.2970 261.4169
4310000 333.4675 256.3218
4320000 319.2277 259.7152
4330000 332.3879 269.9241
4340000 343.5714 257.0882
4350000 350.2752 248.3204
4360000 346.2783 245.4948
4370000 340.9658 232.5670
