Step T_hot T_cold

0 0.0000 0.0000
10000 302.7732 286.9328
20000 318.6754 283.8682
30000 325.4298 276.0600
40000 325.4878 290.6098
50000 293.6589 286.1352
60000 310.1915 307.3512
70000 302.7340 283.5699
80000 318.9998 293.2622
90000 308.7555 284.0572
100000 320.7046 286.4552
110000 325.3014 306.6267
120000 324.7338 303.0334
130000 318.5921 293.3397
140000 315.5758 282.9231
150000 312.8800 290.2237
160000 304.9788 273.8267
170000 320.7912 275.9825
180000 301.8903 267.6273
190000 303.3617 272.9270
200000 296.6629 278.0335
210000 313.7837 290.7640
220000 316.7811 288.3242
230000 313.3586 289.4674
240000 328.6629 284.7720
250000 328.0848 283.7047
260000 312.8848 274.8215
270000 327.3390 286.3249
280000 313.8828 274.3543
290000 316.2317 271.0416
300000 313.1651 278.7592
310000 312.0833 281.3057
320000 323.5230 272.8675
330000 326.4051 276.3797
340000 306.0365 277.1836
350000 338.9422 275.4720
360000 311.9668 284.5705
370000 316.7973 272.4600
380000 323.9845 273.4097
390000 334.1291 269.7138
400000 323.8627 272.9434
410000 317.1195 291.0187
420000 330.1096 278.0440
430000 327.4687 273.4370
440000 342.3326 271.8969
450000 318.4596 257.1486
460000 325.9935 279.0434
470000 337.8113 274.7003
480000 333.4888 250.7265
490000 330.5539 263.6811
500000 320.8201 275.7325
510000 328.4045 274.2924
520000 341.4474 262.7089
530000 325.7706 261.1621
540000 317.9511 261.7946
550000 322.8335 264.1076
560000 331.1454 259.8937
570000 317.6582 265.0194
580000 328.1431 271.5180
590000 330.7610 268.9960
600000 331.2607 263.2787
610000 327.9845 270.8109
620000 335.3159 262.1055
630000 353.4016 275.3325
640000 330.1925 273.4480
650000 328.1581 264.7676
660000 319.5460 269.4832
670000 335.5225 266.0053
680000 342.7952 263.6796
690000 356.1254 274.9613
700000 360.2717 275.6732
710000 337.4954 274.7929
720000 343.2651 272.2327
730000 355.8694 268.0758
740000 332.4758 278.5270
750000 336.5209 260.5609
760000 335.4844 265.9404
770000 332.7849 252.5062
780000 351.3158 243.1727
790000 334.2274 273.6522
800000 324.2135 264.7198
810000 332.1913 258.5062
820000 329.7454 259.9277
830000 320.8800 278.8115
840000 321.7677 280.1214
850000 331.2115 266.1640
860000 348.6361 267.5136
870000 325.8316 264.2858
880000 326.4108 265.3663
890000 318.8587 256.2719
900000 330.2729 261.2345
910000 334.8122 266.3703
920000 343.0106 263.4329
930000 336.6972 266.1842
940000 335.6630 274.3514
950000 318.7724 264.3142
960000 333.2644 261.7208
970000 309.4333 262.5735
980000 335.6242 262.8487
990000 341.5487 256.4594
1000000 329.3567 253.0651
1010000 313.7173 259.1756
1020000 336.9946 251.3491
1030000 333.0140 263.5081
1040000 341.5083 269.8853
1050000 342.8065 254.6704
1060000 328.0853 260.6651
1070000 332.0150 264.4208
1080000 325.1034 245.5468
1090000 354.3324 248.7474
1100000 334.9077 270.7038
1110000 320.6678 256.3890
1120000 326.0410 256.5074
1130000 319.5216 267.1775
1140000 322.8373 266.9631
1150000 301.3946 270.9196
1160000 319.7882 266.3562
1170000 342.1525 262.4796
1180000 340.3218 268.5325
1190000 327.2256 260.4643
1200000 331.7078 266.9514
1210000 338.0846 263.0446
1220000 334.5708 248.5136
1230000 343.3535 242.3404
1240000 350.6723 251.6805
1250000 358.8223 268.3072
1260000 333.0939 258.7798
1270000 332.4494 245.2879
1280000 323.0525 255.8395
1290000 345.0636 258.3041
1300000 355.1812 267.7367
1310000 344.5747 252.2977
1320000 328.0036 250.7810
1330000 323.8673 246.7480
1340000 323.5268 245.8079
1350000 326.3197 255.6409
1360000 323.7359 256.9113
1370000 337.6852 245.4273
1380000 329.6565 258.3125
1390000 315.3787 253.5525
1400000 306.3194 251.0379
1410000 328.4195 249.2825
1420000 341.5432 260.7815
1430000 344.5203 261.7288
1440000 345.7726 277.5779
1450000 345.8555 257.0931
1460000 354.0853 250.6473
1470000 338.6882 251.2492
1480000 323.8093 255.6368
1490000 303.3373 245.7607
1500000 342.8060 252.0424
1510000 324.2181 255.9256
1520000 335.1723 254.1990
1530000 323.3715 254.5918
1540000 327.0875 266.0529
1550000 324.9227 255.6867
1560000 323.6178 260.5673
1570000 313.3448 254.4989
1580000 337.1809 260.2745
1590000 332.0667 262.2824
1600000 326.3139 249.8302
1610000 336.5903 260.0597
1620000 333.8869 275.7899
1630000 321.0395 264.6827
1640000 342.5964 256.5066
1650000 349.4644 263.3335
1660000 343.0783 272.0027
1670000 339.5768 260.0852
1680000 320.3611 264.7559
1690000 317.7784 267.4577
1700000 329.5984 267.8337
1710000 339.6235 252.0375
1720000 347.7601 251.4609
1730000 351.9472 256.7880
1740000 334.3483 254.0207
1750000 325.8714 265.9595
1760000 333.6323 253.3208
1770000 319.9118 262.5931
1780000 361.3895 255.2073
1790000 327.2923 261.9800
1800000 345.3893 256.0453
1810000 344.3136 245.1601
1820000 327.7544 261.2684
1830000 336.0011 248.9696
1840000 325.5322 245.6206
1850000 346.3940 261.2605
1860000 317.9838 251.0200
1870000 316.6719 252.9055
1880000 336.5044 254.9734
1890000 349.7023 248.3219
1900000 341.5586 261.3995
1910000 337.0642 262.4760
1920000 342.7468 261.0069
1930000 334.1956 261.0157
1940000 323.8756 252.6230
1950000 326.1808 268.2239
1960000 331.6059 253.0086
1970000 348.7387 253.0715
1980000 315.8429 266.8240
1990000 338.6140 259.5687
2000000 341.9770 250.2376
2010000 362.2765 261.2055
2020000 339.9092 266.9203
2030000 322.8789 260.8436
2040000 315.9809 274.8254
2050000 327.4707 267.3528
2060000 336.9823 247.7435
2070000 346.5539 255.0780
2080000 342.2768 247.6201
2090000 332.5369 256.7874
2100000 350.9056 273.1811
2110000 322.6179 254.8022
2120000 334.0196 250.8063
2130000 358.6762 244.0844
2140000 330.0248 257.3527
2150000 337.9789 267.1134
2160000 356.6414 255.8307
2170000 357.2076 258.7917
2180000 356.9635 259.0096
2190000 356.4118 250.5819
2200000 350.4978 266.9737
2210000 341.2687 271.6038
2220000 345.3932 256.4222
2230000 369.4440 257.6397
2240000 340.2810 257.8825
2250000 326.4667 252.8492
2260000 343.4010 250.8801
2270000 358.5718 272.0436
2280000 343.1179 257.5071
2290000 349.2478 267.8166
2300000 357.5606 247.2530
2310000 348.1199 245.3950
2320000 356.9894 241.5778
2330000 331.1848 251.0605
2340000 340.4620 245.0012
2350000 345.0486 252.6015
2360000 365.5874 252.5135
2370000 353.3571 258.5105
2380000 337.3023 263.2968
2390000 320.4205 263.8862
2400000 340.2829 275.5646
2410000 341.2672 260.3358
2420000 349.6338 267.4270
2430000 352.5528 264.2564
2440000 342.3220 266.7435
2450000 349.3697 269.4527
2460000 328.9521 261.9118
2470000 356.3565 261.3587
2480000 340.9454 264.7172
2490000 347.6436 269.3855
2500000 340.2636 265.7363
2510000 352.9328 260.8321
2520000 356.3830 254.6566
2530000 361.3671 254.7338
2540000 356.1185 258.5051
2550000 355.3743 256.8238
2560000 346.4849 262.8951
2570000 343.2186 252.0553
2580000 334.7530 251.9969
2590000 347.9687 259.8743
2600000 362.6766 265.4277
2610000 378.3406 258.1843
2620000 337.3338 258.3464
2630000 335.8416 247.2825
2640000 344.7993 263.6033
2650000 324.3741 267.2411
2660000 335.9256 251.2527
2670000 345.8583 242.3438
2680000 337.2416 263.8113
2690000 344.8516 259.4648
2700000 343.0735 272.2667
2710000 333.3711 256.5727
2720000 332.7420 271.4463
2730000 333.4025 265.9748
2740000 335.8306 256.6186
2750000 359.0238 267.9091
2760000 328.6611 288.7776
2770000 329.2142 272.7777
2780000 355.0471 272.9141
2790000 355.1425 265.2870
2800000 334.9424 259.4919
2810000 344.6066 262.0185
2820000 336.8365 268.1734
2830000 329.9524 269.2327
2840000 325.3680 259.8167
2850000 319.7696 276.8080
2860000 353.1559 265.9538
2870000 322.4342 263.7992
2880000 322.0172 260.1032
2890000 325.9853 252.6630
2900000 330.6116 278.4082
2910000 325.0097 267.0987
2920000 327.9501 267.6588
2930000 320.9141 266.3854
2940000 337.3924 252.3427
2950000 325.1721 265.9210
2960000 329.9793 261.4621
2970000 330.6354 254.8415
2980000 307.5240 257.2404
2990000 314.8940 265.5285
3000000 311.0473 259.0083
3010000 328.6263 251.2405
3020000 336.4007 262.4859
3030000 327.6025 258.7555
3040000 357.2078 262.1919
3050000 336.0748 267.3284
3060000 340.1304 256.7422
3070000 324.1100 254.7899
3080000 333.4168 252.7306
3090000 351.3738 250.7203
3100000 367.8922 249.5241
3110000 343.2189 259.4743
3120000 345.3223 267.5820
3130000 324.1549 267.1676
3140000 321.6195 249.7245
3150000 327.1041 260.5925
3160000 320.2464 271.4056
3170000 331.0467 264.7116
3180000 333.6194 268.6474
3190000 366.4219 261.5029
3200000 339.1772 256.8974
3210000 344.2314 257.0854
3220000 324.6596 287.7341
3230000 326.2723 276.0459
3240000 346.4596 267.1927
3250000 343.2067 274.4834
3260000 349.9788 267.1337
3270000 335.1166 266.6048
3280000 342.1224 277.7219
3290000 340.2511 269.7260
3300000 328.1134 249.9704
3310000 335.0195 254.0852
3320000 331.2140 248.8724
3330000 326.7743 251.3684
3340000 345.1001 258.6089
3350000 361.5109 264.8225
3360000 353.5149 260.2453
3370000 334.6814 258.2537
3380000 327.1685 251.3244
3390000 334.5810 248.7022
3400000 321.9646 265.7497
3410000 335.4524 246.8817
3420000 335.4758 270.1426
3430000 309.3384 252.4016
3440000 324.6792 250.1891
3450000 324.6759 256.6916
3460000 334.4724 264.4521
3470000 333.8980 259.0186
3480000 335.8390 264.8834
3490000 342.3410 264.7730
3500000 338.3264 269.4992
3510000 315.2837 275.4846
3520000 329.2212 266.7294
3530000 345.9356 286.4774
3540000 356.6470 269.3980
3550000 318.6116 259.3104
3560000 329.4580 255.6171
3570000 337.0642 273.8618
3580000 322.2782 268.7348
3590000 334.0979 261.9630
3600000 358.6473 255.3867
3610000 348.2575 258.9249
3620000 342.9242 261.4972
3630000 334.2122 265.9069
3640000 342.6118 266.7830
3650000 327.5281 266.8595
3660000 338.3041 265.3507
3670000 324.0923 266.8262
3680000 330.5271 277.5669
3690000 338.5705 275.5517
3700000 331.0271 279.0227
3710000 315.7397 274.9345
3720000 331.0520 271.0899
3730000 324.6823 275.6609
3740000 331.0460 265.3504
3750000 324.8621 264.5993
3760000 333.2545 277.2175
3770000 331.3123 275.3316
3780000 322.3519 258.1596
3790000 335.2852 260.6989
3800000 351.8098 252.2401
3810000 346.7296 242.1277
3820000 346.6413 272.2745
3830000 332.5770 268.4384
3840000 342.6746 263.9774
3850000 353.9070 258.2790
3860000 343.8066 265.5967
3870000 353.0123 263.1454
3880000 328.7376 257.3828
3890000 341.8655 271.5510
3900000 354.2374 262.2233
3910000 350.4144 270.6478
3920000 326.8533 266.6414
3930000 320.7914 253.8834
3940000 318.4275 260.1382
3950000 328.4909 253.6457
3960000 324.0477 250.6562
3970000 330.0171 267.5511
3980000 311.5077 258.7376
3990000 350.6312 250.1379
4000000 334.2552 254.7120
4010000 326.1256 266.1250
4020000 357.3571 257.8118
4030000 368.6921 247.4774
4040000 337.1954 241.9160
4050000 339.5754 248.4963
4060000 338.5970 244.7631
4070000 351.5862 246.7338
4080000 360.9461 242.7518
4090000 358.4717 255.2380
4100000 350.0446 267.7672
4110000 332.7346 265.9492
4120000 343.3016 265.0933
4130000 350.7440 265.9840
4140000 335.8794 276.0703
4150000 334.0784 255.1093
4160000 337.1851 269.6062
4170000 338.3999 260.4357
4180000 352.0659 240.6450
4190000 344.9384 259.3600
4200000 353.9660 268.7415
4210000 338.4798 253.0330
4220000 339.6277 263.9041
4230000 325.7286 259.9395
4240000 327.6007 265.5521
4250000 329.6337 265.1091
4260000 334.1091 264.6001
4270000 332.1965 272.1099
4280000 315.8312 261.8309
4290000 328.8878 252.8761
4300000 320.0412 270.0224
4310000 333.3648 248.6872
4320000 338.8737 271.0588
4330000 359.6257 277.1042
4340000 328.4297 256.1338
4350000 344.3920 255.4842
4360000 328.9205 257.7086
4370000 340.1371 253.5900
