# Time-averaged data for fix DensAve
# TimeStep v_Density
100000 0.881075
200000 0.884494
300000 0.881204
400000 0.877949
500000 0.88421
600000 0.888452
700000 0.887888
800000 0.891168
900000 0.887526
1000000 0.8881
1100000 0.891309
1200000 0.890729
1300000 0.888604
1400000 0.891947
1500000 0.891408
1600000 0.888278
1700000 0.891686
1800000 0.88856
1900000 0.885597
2000000 0.884233
2100000 0.885007
2200000 0.884753
2300000 0.892414
2400000 0.890495
2500000 0.891699
2600000 0.893213
2700000 0.890213
2800000 0.891497
2900000 0.894506
3000000 0.892581
3100000 0.895088
3200000 0.895326
3300000 0.898305
3400000 0.898272
3500000 0.894037
3600000 0.897966
3700000 0.89749
3800000 0.893803
3900000 0.89236
4000000 0.889679
4100000 0.888074
4200000 0.888408
4300000 0.887458
4400000 0.886387
4500000 0.887683
4600000 0.887019
4700000 0.888191
4800000 0.886809
4900000 0.887177
5000000 0.886684
5100000 0.886683
5200000 0.887154
5300000 0.885583
5400000 0.885235
5500000 0.887139
5600000 0.891147
5700000 0.888146
5800000 0.890643
5900000 0.891585
6000000 0.889732
6100000 0.887122
6200000 0.890138
6300000 0.891254
6400000 0.893112
6500000 0.894874
6600000 0.889335
6700000 0.893641
6800000 0.888281
6900000 0.890732
7000000 0.890306
7100000 0.887848
7200000 0.887876
7300000 0.886043
7400000 0.887218
7500000 0.88814
7600000 0.890655
7700000 0.88539
7800000 0.888413
7900000 0.889397
8000000 0.885359
8100000 0.887165
8200000 0.889757
8300000 0.895059
8400000 0.889106
8500000 0.889933
8600000 0.887797
8700000 0.887232
8800000 0.894841
8900000 0.898287
9000000 0.897111
9100000 0.899868
9200000 0.898385
9300000 0.895979
9400000 0.894855
9500000 0.892975
9600000 0.894014
9700000 0.897748
9800000 0.894476
9900000 0.901513
10000000 0.903101
10100000 0.898334
10200000 0.898334
10300000 0.898334
10400000 0.898334
10500000 0.898334
